order_date,orders,customers,gross_sales,discount_amount,net_sales,return_amount,units_sold,units_returned,shipments,shipping_cost,net_units,discount_rate,return_rate,average_order_value
2020-06-12,1.0,1.0,99803.03,13782.79781,86020.23219,0.0,43.0,0.0,0.0,0.0,43.0,0.1380999936575072,0.0,86020.23219
2020-09-24,1.0,1.0,1755.27,273.82212,1481.44788,0.0,1.0,0.0,0.0,0.0,1.0,0.156,0.0,1481.44788
2020-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.01,0.0,,,
2020-10-02,1.0,1.0,232.85,15.3681,217.4819,0.0,1.0,0.0,0.0,0.0,1.0,0.066,0.0,217.4819
2020-10-09,1.0,1.0,72864.9,2076.0371999999998,70788.8628,0.0,66.0,0.0,1.0,774.85,66.0,0.02849159471844468,0.0,70788.8628
2020-10-11,1.0,1.0,191146.21999999997,23756.96874,167389.25126,0.0,119.0,0.0,0.0,0.0,119.0,0.1242868874937731,0.0,167389.25126
2020-10-15,1.0,1.0,70902.45999999999,3962.292,66940.168,0.0,35.0,0.0,1.0,54.13,35.0,0.055883702765743254,0.0,66940.168
2020-10-20,1.0,1.0,113936.82,8223.7056,105713.11439999999,0.0,56.0,0.0,0.0,0.0,56.0,0.0721777701010086,0.0,105713.11439999999
2020-10-21,1.0,1.0,4743.4,1271.2312,3472.1688,0.0,86.0,0.0,0.0,0.0,86.0,0.268,0.0,3472.1688
2020-10-28,1.0,1.0,123317.54000000001,3249.2767300000005,120068.26327,0.0,76.0,0.0,0.0,0.0,76.0,0.02634886107848081,0.0,120068.26327
2020-11-06,1.0,1.0,7380.6,95.9478,7284.6522,0.0,30.0,0.0,0.0,0.0,30.0,0.013,0.0,7284.6522
2020-11-08,1.0,1.0,106583.17,7053.460779999999,99529.70922,0.0,80.0,0.0,0.0,0.0,80.0,0.06617799770826857,0.0,99529.70922
2020-11-10,1.0,1.0,82181.13,17894.3111,64286.8189,0.0,75.0,0.0,1.0,291.29,75.0,0.21774233452375258,0.0,64286.8189
2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,420.45,0.0,,,
2020-11-13,1.0,1.0,121065.95999999999,9485.68368,111580.27632,0.0,61.0,0.0,1.0,204.56,61.0,0.07835136879102929,0.0,111580.27632
2020-11-17,1.0,1.0,46734.619999999995,6551.53152,40183.08848,0.0,67.0,0.0,0.0,0.0,67.0,0.14018583054703346,0.0,40183.08848
2020-11-20,1.0,1.0,69559.52,5849.02352,63710.496479999994,0.0,59.0,0.0,0.0,0.0,59.0,0.084086599792523,0.0,63710.496479999994
2020-11-22,2.0,2.0,110553.38,3816.9525200000003,101776.50198,4959.9255,104.0,5.0,0.0,0.0,99.0,0.03452587808712859,0.04807692307692308,50888.25099
2020-11-24,1.0,1.0,38998.15,354.10455,38644.045450000005,0.0,32.0,0.0,1.0,127.84,32.0,0.009080034565742221,0.0,38644.045450000005
2020-11-27,1.0,1.0,21037.61,273.48893,20764.12107,0.0,11.0,0.0,0.0,0.0,11.0,0.013,0.0,20764.12107
2020-11-28,1.0,1.0,28897.66,698.1545800000001,26227.724939999996,1971.78048,19.0,8.0,0.0,0.0,11.0,0.024159554095383506,0.42105263157894735,26227.724939999996
2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,266.67,0.0,,,
2020-12-04,2.0,2.0,111659.41,4327.25094,107332.15905999999,0.0,91.0,0.0,0.0,0.0,91.0,0.0387540193880659,0.0,53666.079529999995
2020-12-05,1.0,1.0,12601.619999999999,2727.6355200000003,9873.98448,0.0,12.0,0.0,1.0,491.96,12.0,0.21645118008636988,0.0,9873.98448
2020-12-07,1.0,1.0,262753.8,30016.92109,232736.87891,0.0,211.0,0.0,0.0,0.0,211.0,0.114239722089652,0.0,232736.87891
2020-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,383.05,0.0,,,
2020-12-12,2.0,2.0,26308.78,2243.81454,24064.96546,0.0,30.0,0.0,0.0,0.0,30.0,0.08528766974371293,0.0,12032.48273
2020-12-15,1.0,1.0,94019.81999999999,8680.71604,85339.10396000001,0.0,42.0,0.0,0.0,0.0,42.0,0.09232857540037835,0.0,85339.10396000001
2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,0.0,,,
2020-12-17,1.0,1.0,15622.67,281.20806,15341.46194,0.0,7.0,0.0,0.0,0.0,7.0,0.018,0.0,15341.46194
2020-12-18,1.0,1.0,121354.04000000001,13743.28971,107610.75029,0.0,64.0,0.0,1.0,0.0,64.0,0.11324954414373019,0.0,107610.75029
2020-12-25,1.0,1.0,24449.4,97.7976,24351.6024,0.0,47.0,0.0,0.0,0.0,47.0,0.004,0.0,24351.6024
2020-12-27,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,,0.0,0.0
2021-01-02,1.0,1.0,39315.31,9986.08874,29329.22126,0.0,73.0,0.0,0.0,0.0,73.0,0.254,0.0,29329.22126
2021-01-03,1.0,1.0,32119.48,2644.20136,29475.278639999997,0.0,26.0,0.0,0.0,0.0,26.0,0.08232391558020243,0.0,29475.278639999997
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,570.3,0.0,,,
2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,241.04,0.0,,,
2021-01-11,2.0,2.0,52576.28,7184.486559999999,45391.793439999994,0.0,43.0,0.0,0.0,0.0,43.0,0.1366488188209588,0.0,22695.896719999997
2021-01-13,2.0,2.0,100549.6,7629.66979,92919.93020999999,0.0,143.0,0.0,1.0,378.16,143.0,0.07587966327066442,0.0,46459.965104999996
2021-01-14,1.0,1.0,33698.0,7076.58,26621.42,0.0,14.0,0.0,0.0,0.0,14.0,0.21,0.0,26621.42
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,656.29,0.0,,,
2021-01-17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2021-01-19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2021-01-21,1.0,1.0,24365.2,2558.346,21806.854,0.0,79.0,0.0,0.0,0.0,79.0,0.105,0.0,21806.854
2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,444.45,0.0,,,
2021-01-26,1.0,1.0,109952.45999999999,4153.05792,105799.40208,0.0,75.0,0.0,0.0,0.0,75.0,0.03777139611064637,0.0,105799.40208
