order_id,customer_id,warehouse_id,order_date,ship_date,order_status,source_order_total,detail_row_count,total_quantity,calculated_order_total,order_total_difference,order_financial_status,shipment_count,has_shipment,detail_status,customer_status,quantity_status,date_status,gross_sales,discount_amount,sales_net,units_sold,sale_line_count,return_amount,units_returned,return_line_count,net_sales,net_units,discount_rate,return_rate,item_line_count,missing_net_amount_lines,revenue_completeness_status,feature_shipment_count,total_shipping_cost,first_shipment_date,last_delivery_date,order_to_delivery_days,delivery_anomaly_flag,average_order_value
5000001,300839,520,2023-05-14,2023-05-24,Delivered,34000.07,3.0,46.0,34000.07,0.0,Matched,2,True,Has Order Details,Matched,Positive Net Quantity,Valid,43526.05,9525.977649999999,34000.07235,46.0,3.0,0.0,0.0,0.0,34000.07235,46.0,0.2188569293560982,0.0,3.0,0.0,Complete,2,146.48,2023-05-14,2023-06-02,19.0,False,34000.07235
5000002,302397,515,2025-06-21,2025-06-22,Cancelled,,,,,,Cannot Calculate,0,False,No Order Details,Matched,,Valid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,No Order Details,0,,,,,False,0.0
5000003,300665,518,2025-04-13,2025-04-21,Delivered,15670.6,2.0,26.0,15670.6,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid,4222.74,76.00932,4146.73068,26.0,2.0,0.0,0.0,0.0,4146.73068,26.0,0.018000000000000002,0.0,2.0,1.0,Partial,0,,,,,False,4146.73068
5000004,300218,529,2024-03-18,,Shipped,53042.99,3.0,64.0,53042.99,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Missing Ship Date,55024.54,1981.54926,53042.99074,64.0,3.0,0.0,0.0,0.0,53042.99074,64.0,0.03601210041919478,0.0,3.0,0.0,Complete,0,,,,,False,53042.99074
5000005,300514,540,2026-02-17,2026-02-27,Shipped,48773.4,2.0,74.0,48773.4,7.275957614183426e-12,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid,58034.64,9261.234840000001,48773.405159999995,74.0,2.0,0.0,0.0,0.0,48773.405159999995,74.0,0.15958115428992065,0.0,2.0,0.0,Complete,0,,,,,False,48773.405159999995
5000006,300981,518,2025-08-17,2025-08-29,Returned,8583.49,1.0,5.0,8583.49,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid,9633.55,1050.05695,8583.49305,5.0,1.0,0.0,0.0,0.0,8583.49305,5.0,0.109,0.0,1.0,0.0,Complete,0,,,,,False,8583.49305
5000007,300369,519,2026-02-20,2026-03-03,Cancelled,30918.56,1.0,20.0,30918.56,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid,34818.2,3899.6384,30918.5616,20.0,1.0,0.0,0.0,0.0,30918.5616,20.0,0.112,0.0,1.0,0.0,Complete,0,,,,,False,30918.5616
5000008,301284,510,2025-06-03,2025-06-11,Pending,184562.12,5.0,147.0,184562.12,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid,211098.97999999998,26536.862070000003,184562.11793,147.0,5.0,0.0,0.0,0.0,184562.11793,147.0,0.12570814918196196,0.0,5.0,0.0,Complete,0,,,,,False,184562.11793
5000009,302763,531,2025-07-09,2025-07-15,Shipped,4755.59,1.0,12.0,4755.59,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid,5385.72,630.12924,4755.59076,12.0,1.0,0.0,0.0,0.0,4755.59076,12.0,0.11699999999999999,0.0,1.0,0.0,Complete,0,,,,,False,4755.59076
5000010,302702,504,2022-03-12,2022-03-18,Pending,6411.24,1.0,5.0,6411.24,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid,6886.4,475.1616,6411.2384,5.0,1.0,0.0,0.0,0.0,6411.2384,5.0,0.069,0.0,1.0,0.0,Complete,0,,,,,False,6411.2384
