warehouse_id,warehouse_name,location,capacity_units,manager,inventory_record_count,product_count,has_inventory,total_stock,low_stock_items,missing_stock_items,order_count,net_sales,return_amount,units_sold,units_returned,stock_share,sales_share,return_rate
501,Christophershire Distribution Center,India,599758,Kristy Tyler,75,75,True,795561.0,1,2,274,14244675.22484,94461.97482,14826.0,71.0,0.06200546541529409,0.02258149258888835,0.004788884392283825
502,North Leonardport Distribution Center,United Kingdom,188058,Howard Campbell,75,75,True,131943.0,8,3,301,14957304.94987,23791.86682,14702.0,44.0,0.010283544722893842,0.023711194923296413,0.0029927900965854987
503,Portermouth Distribution Center,France,590281,Molly Dickson,75,75,True,462057.0,4,3,275,15267084.72806,25664.4242,14881.0,15.0,0.0360123979599233,0.024202275952170033,0.0010079967744103218
504,West Richardhaven Distribution Center,China,363066,Robert Hernandez,76,75,True,311985.0,5,4,302,15734018.32401,30356.81627,14925.0,36.0,0.024315891713634186,0.024942486407657363,0.002412060301507538
505,Woodston Distribution Center,Brazil,559275,Christian Ford,75,75,True,301169.0,5,4,318,16861950.60458,124254.04924000001,16753.0,108.0,0.023472900272460195,0.026730550651483987,0.006446606577926342
506,Lake Jesseborough Distribution Center,Mexico,345917,Martha Mack,75,75,True,199699.0,8,4,287,14752788.92616,49044.0582,15989.0,51.0,0.015564399760632829,0.023386984156759393,0.0031896929138782912
507,New Zachary Distribution Center,Germany,216755,Marisa Conrad,75,75,True,149481.0,10,2,311,16043910.11173,100703.12383,15680.0,100.0,0.011650444121498635,0.02543374500059135,0.006377551020408163
508,Sethberg Distribution Center,Canada,363139,Isaac Chase,75,75,True,226246.0,4,0,300,15912141.38002,70805.41498999999,14719.0,47.0,0.017633454289927016,0.025224857497605828,0.003193151708675861
509,Williamsfurt Distribution Center,India,300799,,75,75,True,229426.0,3,2,305,16848996.71215,115446.5886,16359.0,105.0,0.017881301255804723,0.026710015383302147,0.006418485237483954
510,New Courtney Distribution Center,Australia,166207,Robert Thomas PhD,75,75,True,87898.0,14,3,334,17797139.04801,53117.2994,17399.0,56.0,0.0068507083668926955,0.028213066087687325,0.003218575780217254
511,South Clintonmouth Distribution Center,Mexico,557396,Edward Jones,75,75,True,465737.0,3,3,317,18326977.15273,66924.65327,18227.0,63.0,0.03629921457452392,0.02905299645087184,0.0034564108191145007
512,Michaelland Distribution Center,Brazil,295431,Raymond Scott,75,75,True,162207.0,12,1,283,14577425.14807,98359.47249,13876.0,66.0,0.012642299620794143,0.02310898723560858,0.004756413952147593
513,Goodmouth Distribution Center,Brazil,309119,Brenda Martinez,75,75,True,262565.0,5,2,301,15886040.70038,146713.72503,16098.0,112.0,0.020464131633861758,0.02518348117315107,0.006957386010684557
514,Williamsport Distribution Center,China,598464,Scott Stark,75,75,True,410432.0,6,2,304,15183753.88737,98756.80997,15685.0,100.0,0.031988781729282836,0.024070175028016585,0.006375518010838381
515,South Michael Distribution Center,France,547105,Tiffany Brooks,75,75,True,444324.0,2,1,292,14803971.92407,96236.822,14830.0,86.0,0.03463030039831658,0.023468122439643253,0.005799055967633176
516,Hunterview Distribution Center,Mexico,443699,Wendy Williams,75,75,True,260787.0,7,2,298,14556085.15211,106923.33884000001,14645.0,91.0,0.020325555563003087,0.023075157825459772,0.006213724820757938
517,Lake Krystalside Distribution Center,Vietnam,561993,Samuel Roberts,76,75,True,465111.0,3,0,285,14916681.50867,76482.63881,14683.0,79.0,0.036250424574322836,0.023646796267524094,0.005380371858612
518,New Reginald Distribution Center,United Kingdom,329521,James Ford,76,75,True,249356.0,4,4,274,14016137.93626,26279.45097,13649.0,32.0,0.01943463145389992,0.022219201907851645,0.002344494102132024
519,West Stevenside Distribution Center,United Kingdom,292213,Julie Miller,75,75,True,175362.0,5,1,304,16937972.19421,56906.14323,17005.0,72.0,0.013667591078693905,0.026851064523210018,0.004234048809173772
520,South Kaylaborough Distribution Center,Germany,319955,Austin Peterson,75,75,True,201440.0,7,3,329,17399876.05369,76362.02199,16765.0,76.0,0.015700092077486003,0.027583301546167047,0.004533253802564867
521,Lewisfort Distribution Center,Brazil,310614,Jesse Gardner,75,75,True,417385.0,3,1,299,15369184.73117,25148.085219999997,14481.0,42.0,0.03253069366442363,0.024364130850731247,0.00290035218562254
522,Thomasborough Distribution Center,Vietnam,365765,Andre Burke,75,75,True,239288.0,6,0,297,15179332.40294,83864.09981,14435.0,88.0,0.0186499386072154,0.024063165832207484,0.006096293730516107
523,Brownstad Distribution Center,Vietnam,495564,Veronica Lewis,75,75,True,307539.0,4,2,301,16696324.70622,126541.97851999999,15696.0,127.0,0.02396937359719007,0.026467990787021625,0.008091233435270132
524,Port Andrew Distribution Center,India,510884,Jenny King,75,75,True,439332.0,4,3,303,16371842.02598,85910.1052,15688.0,96.0,0.03424122742546704,0.025953601857586103,0.006119326874043855
525,North Donald Distribution Center,Brazil,523618,Brad Russo,75,75,True,326430.0,3,1,334,17927188.65316,70126.41747,16720.0,60.0,0.025441724865239056,0.02841922833066788,0.0035885167464114833
526,Savagehaven Distribution Center,Japan,455004,Steven White,75,75,True,306740.0,6,1,290,14771124.81371,114142.04104,14694.0,100.0,0.02390710009853086,0.023416051278493343,0.006805498843065197
527,North Pattychester Distribution Center,Mexico,302809,Paul Martin,75,75,True,176572.0,8,6,276,13983945.56829,39749.329920000004,13289.0,47.0,0.013761897628603349,0.022168168682645806,0.003536759726089247
528,Sherifort Distribution Center,Vietnam,585363,Michael Martin,75,75,True,744297.0,0,3,325,15468663.64304,116349.43958,15775.0,99.0,0.058009985271031565,0.024521830642104926,0.006275752773375594
529,Gomezshire Distribution Center,Japan,346607,Adam Logan,75,75,True,250145.0,3,0,278,14886667.35345,17301.10774,14680.0,31.0,0.01949612555958467,0.023599216072611662,0.002111716621253406
530,North Jennifer Distribution Center,China,447894,Brianna Beck,75,75,True,266915.0,7,2,318,17506956.34005,60585.1016,17355.0,76.0,0.020803167577751074,0.02775305148112083,0.004379141457793143
531,Alexismouth Distribution Center,China,467710,Kathryn Stewart,76,75,True,351484.0,3,4,311,16909135.28477,65226.96529,16410.0,90.0,0.027394416023446635,0.02680535056718593,0.005484460694698354
532,Bakertown Distribution Center,France,576306,Terri Mathews DDS,75,75,True,459934.0,4,2,305,15909611.58244,45952.048520000004,15103.0,46.0,0.03584693283144583,0.0252208471144695,0.00304575249950341
533,North Jefferyborough Distribution Center,United Kingdom,409551,Joshua Martin,75,75,True,332656.0,4,3,304,15643036.48495,74803.25371,15580.0,81.0,0.025926974931136732,0.024798256673245856,0.005198973042362003
534,Robinsonborough Distribution Center,Australia,580523,Valerie Ray,75,75,True,459940.0,3,0,328,18151525.9271,77446.06457,17737.0,53.0,0.0358474004672305,0.02877486090276427,0.0029881039634662007
535,West Lisatown Distribution Center,Germany,479311,Eric Fuentes,75,75,True,347158.0,4,3,341,16027359.05587,145311.49921,17197.0,105.0,0.027057250622696018,0.025407507298478696,0.006105716113275571
536,Lake Victormouth Distribution Center,Japan,379204,Guy Clayton,75,75,True,290802.0,6,5,296,15468656.07299,111288.79842,14441.0,136.0,0.02266490357583938,0.024521818641618762,0.009417630358008449
537,Millsmouth Distribution Center,India,171513,Christopher Patterson,75,75,True,115963.0,12,1,307,16277440.5906,81268.63255,16248.0,84.0,0.009038074749709636,0.02580395117901559,0.0051698670605613
538,New Brooke Distribution Center,Canada,430610,Jane Bruce,75,75,True,280230.0,4,1,295,15724203.62714,71713.63328,15612.0,66.0,0.021840929323242168,0.02492692757594419,0.004227517294388932
539,Waltersville Distribution Center,Mexico,510041,,76,75,True,394142.0,4,0,287,14496439.51079,21841.2464,14570.0,35.0,0.03071915057389043,0.022980604065113003,0.0024021962937542897
540,Garciaside Distribution Center,Vietnam,447044,Jeremy Perkins,75,75,True,330760.0,4,2,251,13018373.35705,50948.22868,13100.0,48.0,0.02577920202317946,0.020637487120027203,0.00366412213740458
