date_key,date,year,quarter,month,month_name,month_year,week,day,day_name,day_of_week,is_weekend
20200210,10-02-2020,2020,Q1,2,February,2020-02,7,10,Monday,1,FALSE
20200211,11-02-2020,2020,Q1,2,February,2020-02,7,11,Tuesday,2,FALSE
20200212,12-02-2020,2020,Q1,2,February,2020-02,7,12,Wednesday,3,FALSE
20200213,13-02-2020,2020,Q1,2,February,2020-02,7,13,Thursday,4,FALSE
20200214,14-02-2020,2020,Q1,2,February,2020-02,7,14,Friday,5,FALSE
20200215,15-02-2020,2020,Q1,2,February,2020-02,7,15,Saturday,6,TRUE
20200216,16-02-2020,2020,Q1,2,February,2020-02,7,16,Sunday,7,TRUE
20200217,17-02-2020,2020,Q1,2,February,2020-02,8,17,Monday,1,FALSE
20200218,18-02-2020,2020,Q1,2,February,2020-02,8,18,Tuesday,2,FALSE
20200219,19-02-2020,2020,Q1,2,February,2020-02,8,19,Wednesday,3,FALSE
20200220,20-02-2020,2020,Q1,2,February,2020-02,8,20,Thursday,4,FALSE
20200221,21-02-2020,2020,Q1,2,February,2020-02,8,21,Friday,5,FALSE
20200222,22-02-2020,2020,Q1,2,February,2020-02,8,22,Saturday,6,TRUE
20200223,23-02-2020,2020,Q1,2,February,2020-02,8,23,Sunday,7,TRUE
20200224,24-02-2020,2020,Q1,2,February,2020-02,9,24,Monday,1,FALSE
20200225,25-02-2020,2020,Q1,2,February,2020-02,9,25,Tuesday,2,FALSE
20200226,26-02-2020,2020,Q1,2,February,2020-02,9,26,Wednesday,3,FALSE
20200227,27-02-2020,2020,Q1,2,February,2020-02,9,27,Thursday,4,FALSE
20200228,28-02-2020,2020,Q1,2,February,2020-02,9,28,Friday,5,FALSE
20200229,29-02-2020,2020,Q1,2,February,2020-02,9,29,Saturday,6,TRUE
20200301,01-03-2020,2020,Q1,3,March,2020-03,9,1,Sunday,7,TRUE
20200302,02-03-2020,2020,Q1,3,March,2020-03,10,2,Monday,1,FALSE
20200303,03-03-2020,2020,Q1,3,March,2020-03,10,3,Tuesday,2,FALSE
20200304,04-03-2020,2020,Q1,3,March,2020-03,10,4,Wednesday,3,FALSE
20200305,05-03-2020,2020,Q1,3,March,2020-03,10,5,Thursday,4,FALSE
20200306,06-03-2020,2020,Q1,3,March,2020-03,10,6,Friday,5,FALSE
20200307,07-03-2020,2020,Q1,3,March,2020-03,10,7,Saturday,6,TRUE
20200308,08-03-2020,2020,Q1,3,March,2020-03,10,8,Sunday,7,TRUE
20200309,09-03-2020,2020,Q1,3,March,2020-03,11,9,Monday,1,FALSE
20200310,10-03-2020,2020,Q1,3,March,2020-03,11,10,Tuesday,2,FALSE
20200311,11-03-2020,2020,Q1,3,March,2020-03,11,11,Wednesday,3,FALSE
20200312,12-03-2020,2020,Q1,3,March,2020-03,11,12,Thursday,4,FALSE
20200313,13-03-2020,2020,Q1,3,March,2020-03,11,13,Friday,5,FALSE
20200314,14-03-2020,2020,Q1,3,March,2020-03,11,14,Saturday,6,TRUE
20200315,15-03-2020,2020,Q1,3,March,2020-03,11,15,Sunday,7,TRUE
20200316,16-03-2020,2020,Q1,3,March,2020-03,12,16,Monday,1,FALSE
20200317,17-03-2020,2020,Q1,3,March,2020-03,12,17,Tuesday,2,FALSE
20200318,18-03-2020,2020,Q1,3,March,2020-03,12,18,Wednesday,3,FALSE
20200319,19-03-2020,2020,Q1,3,March,2020-03,12,19,Thursday,4,FALSE
20200320,20-03-2020,2020,Q1,3,March,2020-03,12,20,Friday,5,FALSE
20200321,21-03-2020,2020,Q1,3,March,2020-03,12,21,Saturday,6,TRUE
20200322,22-03-2020,2020,Q1,3,March,2020-03,12,22,Sunday,7,TRUE
20200323,23-03-2020,2020,Q1,3,March,2020-03,13,23,Monday,1,FALSE
20200324,24-03-2020,2020,Q1,3,March,2020-03,13,24,Tuesday,2,FALSE
20200325,25-03-2020,2020,Q1,3,March,2020-03,13,25,Wednesday,3,FALSE
20200326,26-03-2020,2020,Q1,3,March,2020-03,13,26,Thursday,4,FALSE
20200327,27-03-2020,2020,Q1,3,March,2020-03,13,27,Friday,5,FALSE
20200328,28-03-2020,2020,Q1,3,March,2020-03,13,28,Saturday,6,TRUE
20200329,29-03-2020,2020,Q1,3,March,2020-03,13,29,Sunday,7,TRUE
20200330,30-03-2020,2020,Q1,3,March,2020-03,14,30,Monday,1,FALSE
20200331,31-03-2020,2020,Q1,3,March,2020-03,14,31,Tuesday,2,FALSE
20200401,01-04-2020,2020,Q2,4,April,2020-04,14,1,Wednesday,3,FALSE
20200402,02-04-2020,2020,Q2,4,April,2020-04,14,2,Thursday,4,FALSE
20200403,03-04-2020,2020,Q2,4,April,2020-04,14,3,Friday,5,FALSE
20200404,04-04-2020,2020,Q2,4,April,2020-04,14,4,Saturday,6,TRUE
20200405,05-04-2020,2020,Q2,4,April,2020-04,14,5,Sunday,7,TRUE
20200406,06-04-2020,2020,Q2,4,April,2020-04,15,6,Monday,1,FALSE
20200407,07-04-2020,2020,Q2,4,April,2020-04,15,7,Tuesday,2,FALSE
20200408,08-04-2020,2020,Q2,4,April,2020-04,15,8,Wednesday,3,FALSE
20200409,09-04-2020,2020,Q2,4,April,2020-04,15,9,Thursday,4,FALSE
20200410,10-04-2020,2020,Q2,4,April,2020-04,15,10,Friday,5,FALSE
20200411,11-04-2020,2020,Q2,4,April,2020-04,15,11,Saturday,6,TRUE
20200412,12-04-2020,2020,Q2,4,April,2020-04,15,12,Sunday,7,TRUE
20200413,13-04-2020,2020,Q2,4,April,2020-04,16,13,Monday,1,FALSE
20200414,14-04-2020,2020,Q2,4,April,2020-04,16,14,Tuesday,2,FALSE
20200415,15-04-2020,2020,Q2,4,April,2020-04,16,15,Wednesday,3,FALSE
20200416,16-04-2020,2020,Q2,4,April,2020-04,16,16,Thursday,4,FALSE
20200417,17-04-2020,2020,Q2,4,April,2020-04,16,17,Friday,5,FALSE
20200418,18-04-2020,2020,Q2,4,April,2020-04,16,18,Saturday,6,TRUE
20200419,19-04-2020,2020,Q2,4,April,2020-04,16,19,Sunday,7,TRUE
20200420,20-04-2020,2020,Q2,4,April,2020-04,17,20,Monday,1,FALSE
20200421,21-04-2020,2020,Q2,4,April,2020-04,17,21,Tuesday,2,FALSE
20200422,22-04-2020,2020,Q2,4,April,2020-04,17,22,Wednesday,3,FALSE
20200423,23-04-2020,2020,Q2,4,April,2020-04,17,23,Thursday,4,FALSE
20200424,24-04-2020,2020,Q2,4,April,2020-04,17,24,Friday,5,FALSE
20200425,25-04-2020,2020,Q2,4,April,2020-04,17,25,Saturday,6,TRUE
20200426,26-04-2020,2020,Q2,4,April,2020-04,17,26,Sunday,7,TRUE
20200427,27-04-2020,2020,Q2,4,April,2020-04,18,27,Monday,1,FALSE
20200428,28-04-2020,2020,Q2,4,April,2020-04,18,28,Tuesday,2,FALSE
20200429,29-04-2020,2020,Q2,4,April,2020-04,18,29,Wednesday,3,FALSE
20200430,30-04-2020,2020,Q2,4,April,2020-04,18,30,Thursday,4,FALSE
20200501,01-05-2020,2020,Q2,5,May,2020-05,18,1,Friday,5,FALSE
20200502,02-05-2020,2020,Q2,5,May,2020-05,18,2,Saturday,6,TRUE
20200503,03-05-2020,2020,Q2,5,May,2020-05,18,3,Sunday,7,TRUE
20200504,04-05-2020,2020,Q2,5,May,2020-05,19,4,Monday,1,FALSE
20200505,05-05-2020,2020,Q2,5,May,2020-05,19,5,Tuesday,2,FALSE
20200506,06-05-2020,2020,Q2,5,May,2020-05,19,6,Wednesday,3,FALSE
20200507,07-05-2020,2020,Q2,5,May,2020-05,19,7,Thursday,4,FALSE
20200508,08-05-2020,2020,Q2,5,May,2020-05,19,8,Friday,5,FALSE
20200509,09-05-2020,2020,Q2,5,May,2020-05,19,9,Saturday,6,TRUE
20200510,10-05-2020,2020,Q2,5,May,2020-05,19,10,Sunday,7,TRUE
20200511,11-05-2020,2020,Q2,5,May,2020-05,20,11,Monday,1,FALSE
20200512,12-05-2020,2020,Q2,5,May,2020-05,20,12,Tuesday,2,FALSE
20200513,13-05-2020,2020,Q2,5,May,2020-05,20,13,Wednesday,3,FALSE
20200514,14-05-2020,2020,Q2,5,May,2020-05,20,14,Thursday,4,FALSE
20200515,15-05-2020,2020,Q2,5,May,2020-05,20,15,Friday,5,FALSE
20200516,16-05-2020,2020,Q2,5,May,2020-05,20,16,Saturday,6,TRUE
20200517,17-05-2020,2020,Q2,5,May,2020-05,20,17,Sunday,7,TRUE
20200518,18-05-2020,2020,Q2,5,May,2020-05,21,18,Monday,1,FALSE
20200519,19-05-2020,2020,Q2,5,May,2020-05,21,19,Tuesday,2,FALSE
20200520,20-05-2020,2020,Q2,5,May,2020-05,21,20,Wednesday,3,FALSE
20200521,21-05-2020,2020,Q2,5,May,2020-05,21,21,Thursday,4,FALSE
20200522,22-05-2020,2020,Q2,5,May,2020-05,21,22,Friday,5,FALSE
20200523,23-05-2020,2020,Q2,5,May,2020-05,21,23,Saturday,6,TRUE
20200524,24-05-2020,2020,Q2,5,May,2020-05,21,24,Sunday,7,TRUE
20200525,25-05-2020,2020,Q2,5,May,2020-05,22,25,Monday,1,FALSE
20200526,26-05-2020,2020,Q2,5,May,2020-05,22,26,Tuesday,2,FALSE
20200527,27-05-2020,2020,Q2,5,May,2020-05,22,27,Wednesday,3,FALSE
20200528,28-05-2020,2020,Q2,5,May,2020-05,22,28,Thursday,4,FALSE
20200529,29-05-2020,2020,Q2,5,May,2020-05,22,29,Friday,5,FALSE
20200530,30-05-2020,2020,Q2,5,May,2020-05,22,30,Saturday,6,TRUE
20200531,31-05-2020,2020,Q2,5,May,2020-05,22,31,Sunday,7,TRUE
20200601,01-06-2020,2020,Q2,6,June,2020-06,23,1,Monday,1,FALSE
20200602,02-06-2020,2020,Q2,6,June,2020-06,23,2,Tuesday,2,FALSE
20200603,03-06-2020,2020,Q2,6,June,2020-06,23,3,Wednesday,3,FALSE
20200604,04-06-2020,2020,Q2,6,June,2020-06,23,4,Thursday,4,FALSE
20200605,05-06-2020,2020,Q2,6,June,2020-06,23,5,Friday,5,FALSE
20200606,06-06-2020,2020,Q2,6,June,2020-06,23,6,Saturday,6,TRUE
20200607,07-06-2020,2020,Q2,6,June,2020-06,23,7,Sunday,7,TRUE
20200608,08-06-2020,2020,Q2,6,June,2020-06,24,8,Monday,1,FALSE
20200609,09-06-2020,2020,Q2,6,June,2020-06,24,9,Tuesday,2,FALSE
20200610,10-06-2020,2020,Q2,6,June,2020-06,24,10,Wednesday,3,FALSE
20200611,11-06-2020,2020,Q2,6,June,2020-06,24,11,Thursday,4,FALSE
20200612,12-06-2020,2020,Q2,6,June,2020-06,24,12,Friday,5,FALSE
20200613,13-06-2020,2020,Q2,6,June,2020-06,24,13,Saturday,6,TRUE
20200614,14-06-2020,2020,Q2,6,June,2020-06,24,14,Sunday,7,TRUE
20200615,15-06-2020,2020,Q2,6,June,2020-06,25,15,Monday,1,FALSE
20200616,16-06-2020,2020,Q2,6,June,2020-06,25,16,Tuesday,2,FALSE
20200617,17-06-2020,2020,Q2,6,June,2020-06,25,17,Wednesday,3,FALSE
20200618,18-06-2020,2020,Q2,6,June,2020-06,25,18,Thursday,4,FALSE
20200619,19-06-2020,2020,Q2,6,June,2020-06,25,19,Friday,5,FALSE
20200620,20-06-2020,2020,Q2,6,June,2020-06,25,20,Saturday,6,TRUE
20200621,21-06-2020,2020,Q2,6,June,2020-06,25,21,Sunday,7,TRUE
20200622,22-06-2020,2020,Q2,6,June,2020-06,26,22,Monday,1,FALSE
20200623,23-06-2020,2020,Q2,6,June,2020-06,26,23,Tuesday,2,FALSE
20200624,24-06-2020,2020,Q2,6,June,2020-06,26,24,Wednesday,3,FALSE
20200625,25-06-2020,2020,Q2,6,June,2020-06,26,25,Thursday,4,FALSE
20200626,26-06-2020,2020,Q2,6,June,2020-06,26,26,Friday,5,FALSE
20200627,27-06-2020,2020,Q2,6,June,2020-06,26,27,Saturday,6,TRUE
20200628,28-06-2020,2020,Q2,6,June,2020-06,26,28,Sunday,7,TRUE
20200629,29-06-2020,2020,Q2,6,June,2020-06,27,29,Monday,1,FALSE
20200630,30-06-2020,2020,Q2,6,June,2020-06,27,30,Tuesday,2,FALSE
20200701,01-07-2020,2020,Q3,7,July,2020-07,27,1,Wednesday,3,FALSE
20200702,02-07-2020,2020,Q3,7,July,2020-07,27,2,Thursday,4,FALSE
20200703,03-07-2020,2020,Q3,7,July,2020-07,27,3,Friday,5,FALSE
20200704,04-07-2020,2020,Q3,7,July,2020-07,27,4,Saturday,6,TRUE
20200705,05-07-2020,2020,Q3,7,July,2020-07,27,5,Sunday,7,TRUE
20200706,06-07-2020,2020,Q3,7,July,2020-07,28,6,Monday,1,FALSE
20200707,07-07-2020,2020,Q3,7,July,2020-07,28,7,Tuesday,2,FALSE
20200708,08-07-2020,2020,Q3,7,July,2020-07,28,8,Wednesday,3,FALSE
20200709,09-07-2020,2020,Q3,7,July,2020-07,28,9,Thursday,4,FALSE
20200710,10-07-2020,2020,Q3,7,July,2020-07,28,10,Friday,5,FALSE
20200711,11-07-2020,2020,Q3,7,July,2020-07,28,11,Saturday,6,TRUE
20200712,12-07-2020,2020,Q3,7,July,2020-07,28,12,Sunday,7,TRUE
20200713,13-07-2020,2020,Q3,7,July,2020-07,29,13,Monday,1,FALSE
20200714,14-07-2020,2020,Q3,7,July,2020-07,29,14,Tuesday,2,FALSE
20200715,15-07-2020,2020,Q3,7,July,2020-07,29,15,Wednesday,3,FALSE
20200716,16-07-2020,2020,Q3,7,July,2020-07,29,16,Thursday,4,FALSE
20200717,17-07-2020,2020,Q3,7,July,2020-07,29,17,Friday,5,FALSE
20200718,18-07-2020,2020,Q3,7,July,2020-07,29,18,Saturday,6,TRUE
20200719,19-07-2020,2020,Q3,7,July,2020-07,29,19,Sunday,7,TRUE
20200720,20-07-2020,2020,Q3,7,July,2020-07,30,20,Monday,1,FALSE
20200721,21-07-2020,2020,Q3,7,July,2020-07,30,21,Tuesday,2,FALSE
20200722,22-07-2020,2020,Q3,7,July,2020-07,30,22,Wednesday,3,FALSE
20200723,23-07-2020,2020,Q3,7,July,2020-07,30,23,Thursday,4,FALSE
20200724,24-07-2020,2020,Q3,7,July,2020-07,30,24,Friday,5,FALSE
20200725,25-07-2020,2020,Q3,7,July,2020-07,30,25,Saturday,6,TRUE
20200726,26-07-2020,2020,Q3,7,July,2020-07,30,26,Sunday,7,TRUE
20200727,27-07-2020,2020,Q3,7,July,2020-07,31,27,Monday,1,FALSE
20200728,28-07-2020,2020,Q3,7,July,2020-07,31,28,Tuesday,2,FALSE
20200729,29-07-2020,2020,Q3,7,July,2020-07,31,29,Wednesday,3,FALSE
20200730,30-07-2020,2020,Q3,7,July,2020-07,31,30,Thursday,4,FALSE
20200731,31-07-2020,2020,Q3,7,July,2020-07,31,31,Friday,5,FALSE
20200801,01-08-2020,2020,Q3,8,August,2020-08,31,1,Saturday,6,TRUE
20200802,02-08-2020,2020,Q3,8,August,2020-08,31,2,Sunday,7,TRUE
20200803,03-08-2020,2020,Q3,8,August,2020-08,32,3,Monday,1,FALSE
20200804,04-08-2020,2020,Q3,8,August,2020-08,32,4,Tuesday,2,FALSE
20200805,05-08-2020,2020,Q3,8,August,2020-08,32,5,Wednesday,3,FALSE
20200806,06-08-2020,2020,Q3,8,August,2020-08,32,6,Thursday,4,FALSE
20200807,07-08-2020,2020,Q3,8,August,2020-08,32,7,Friday,5,FALSE
20200808,08-08-2020,2020,Q3,8,August,2020-08,32,8,Saturday,6,TRUE
20200809,09-08-2020,2020,Q3,8,August,2020-08,32,9,Sunday,7,TRUE
20200810,10-08-2020,2020,Q3,8,August,2020-08,33,10,Monday,1,FALSE
20200811,11-08-2020,2020,Q3,8,August,2020-08,33,11,Tuesday,2,FALSE
20200812,12-08-2020,2020,Q3,8,August,2020-08,33,12,Wednesday,3,FALSE
20200813,13-08-2020,2020,Q3,8,August,2020-08,33,13,Thursday,4,FALSE
20200814,14-08-2020,2020,Q3,8,August,2020-08,33,14,Friday,5,FALSE
20200815,15-08-2020,2020,Q3,8,August,2020-08,33,15,Saturday,6,TRUE
20200816,16-08-2020,2020,Q3,8,August,2020-08,33,16,Sunday,7,TRUE
20200817,17-08-2020,2020,Q3,8,August,2020-08,34,17,Monday,1,FALSE
20200818,18-08-2020,2020,Q3,8,August,2020-08,34,18,Tuesday,2,FALSE
20200819,19-08-2020,2020,Q3,8,August,2020-08,34,19,Wednesday,3,FALSE
20200820,20-08-2020,2020,Q3,8,August,2020-08,34,20,Thursday,4,FALSE
20200821,21-08-2020,2020,Q3,8,August,2020-08,34,21,Friday,5,FALSE
20200822,22-08-2020,2020,Q3,8,August,2020-08,34,22,Saturday,6,TRUE
20200823,23-08-2020,2020,Q3,8,August,2020-08,34,23,Sunday,7,TRUE
20200824,24-08-2020,2020,Q3,8,August,2020-08,35,24,Monday,1,FALSE
20200825,25-08-2020,2020,Q3,8,August,2020-08,35,25,Tuesday,2,FALSE
20200826,26-08-2020,2020,Q3,8,August,2020-08,35,26,Wednesday,3,FALSE
20200827,27-08-2020,2020,Q3,8,August,2020-08,35,27,Thursday,4,FALSE
20200828,28-08-2020,2020,Q3,8,August,2020-08,35,28,Friday,5,FALSE
20200829,29-08-2020,2020,Q3,8,August,2020-08,35,29,Saturday,6,TRUE
20200830,30-08-2020,2020,Q3,8,August,2020-08,35,30,Sunday,7,TRUE
20200831,31-08-2020,2020,Q3,8,August,2020-08,36,31,Monday,1,FALSE
20200901,01-09-2020,2020,Q3,9,September,2020-09,36,1,Tuesday,2,FALSE
20200902,02-09-2020,2020,Q3,9,September,2020-09,36,2,Wednesday,3,FALSE
20200903,03-09-2020,2020,Q3,9,September,2020-09,36,3,Thursday,4,FALSE
20200904,04-09-2020,2020,Q3,9,September,2020-09,36,4,Friday,5,FALSE
20200905,05-09-2020,2020,Q3,9,September,2020-09,36,5,Saturday,6,TRUE
20200906,06-09-2020,2020,Q3,9,September,2020-09,36,6,Sunday,7,TRUE
20200907,07-09-2020,2020,Q3,9,September,2020-09,37,7,Monday,1,FALSE
20200908,08-09-2020,2020,Q3,9,September,2020-09,37,8,Tuesday,2,FALSE
20200909,09-09-2020,2020,Q3,9,September,2020-09,37,9,Wednesday,3,FALSE
20200910,10-09-2020,2020,Q3,9,September,2020-09,37,10,Thursday,4,FALSE
20200911,11-09-2020,2020,Q3,9,September,2020-09,37,11,Friday,5,FALSE
20200912,12-09-2020,2020,Q3,9,September,2020-09,37,12,Saturday,6,TRUE
20200913,13-09-2020,2020,Q3,9,September,2020-09,37,13,Sunday,7,TRUE
20200914,14-09-2020,2020,Q3,9,September,2020-09,38,14,Monday,1,FALSE
20200915,15-09-2020,2020,Q3,9,September,2020-09,38,15,Tuesday,2,FALSE
20200916,16-09-2020,2020,Q3,9,September,2020-09,38,16,Wednesday,3,FALSE
20200917,17-09-2020,2020,Q3,9,September,2020-09,38,17,Thursday,4,FALSE
20200918,18-09-2020,2020,Q3,9,September,2020-09,38,18,Friday,5,FALSE
20200919,19-09-2020,2020,Q3,9,September,2020-09,38,19,Saturday,6,TRUE
20200920,20-09-2020,2020,Q3,9,September,2020-09,38,20,Sunday,7,TRUE
20200921,21-09-2020,2020,Q3,9,September,2020-09,39,21,Monday,1,FALSE
20200922,22-09-2020,2020,Q3,9,September,2020-09,39,22,Tuesday,2,FALSE
20200923,23-09-2020,2020,Q3,9,September,2020-09,39,23,Wednesday,3,FALSE
20200924,24-09-2020,2020,Q3,9,September,2020-09,39,24,Thursday,4,FALSE
20200925,25-09-2020,2020,Q3,9,September,2020-09,39,25,Friday,5,FALSE
20200926,26-09-2020,2020,Q3,9,September,2020-09,39,26,Saturday,6,TRUE
20200927,27-09-2020,2020,Q3,9,September,2020-09,39,27,Sunday,7,TRUE
20200928,28-09-2020,2020,Q3,9,September,2020-09,40,28,Monday,1,FALSE
20200929,29-09-2020,2020,Q3,9,September,2020-09,40,29,Tuesday,2,FALSE
20200930,30-09-2020,2020,Q3,9,September,2020-09,40,30,Wednesday,3,FALSE
20201001,01-10-2020,2020,Q4,10,October,2020-10,40,1,Thursday,4,FALSE
20201002,02-10-2020,2020,Q4,10,October,2020-10,40,2,Friday,5,FALSE
20201003,03-10-2020,2020,Q4,10,October,2020-10,40,3,Saturday,6,TRUE
20201004,04-10-2020,2020,Q4,10,October,2020-10,40,4,Sunday,7,TRUE
20201005,05-10-2020,2020,Q4,10,October,2020-10,41,5,Monday,1,FALSE
20201006,06-10-2020,2020,Q4,10,October,2020-10,41,6,Tuesday,2,FALSE
20201007,07-10-2020,2020,Q4,10,October,2020-10,41,7,Wednesday,3,FALSE
20201008,08-10-2020,2020,Q4,10,October,2020-10,41,8,Thursday,4,FALSE
20201009,09-10-2020,2020,Q4,10,October,2020-10,41,9,Friday,5,FALSE
20201010,10-10-2020,2020,Q4,10,October,2020-10,41,10,Saturday,6,TRUE
20201011,11-10-2020,2020,Q4,10,October,2020-10,41,11,Sunday,7,TRUE
20201012,12-10-2020,2020,Q4,10,October,2020-10,42,12,Monday,1,FALSE
