supplier_id,supplier_name,contact_email,phone,country,rating,established_year,product_count,has_products
1001,"Rodriguez, Figueroa and Sanchez",jillrhodes@miller.com,989.608.3863,Vietnam,2,1981,7,TRUE
1002,Blake and Sons,jpeterson@bernard.com,361-855-9407,Canada,1.1,2007,3,TRUE
1003,Arnold Ltd,barbara10@perez.com,664-375-2553,Canada,3.2,2012,6,TRUE
1004,"Reid, Ferguson and Sanchez",ogray@hawkins.com,505.964.1395,United States,2.1,2023,2,TRUE
1005,Wilkerson-Day,josephwright@ryan.org,(353)828-7101x2269,United Kingdom,,2004,5,TRUE
1006,Carlson-Mcdonald,tasha01@dyer.com,346-627-0482,France,3.5,1998,4,TRUE
1007,"Romero, Gonzalez and Brooks",amberosborne@sellers.com,(443)903-9117x182,Mexico,4.1,1989,2,TRUE
1008,"Martin, Rose and Obrien",sarahcampos@harris.com,587.213.3150x983,France,2.5,1988,7,TRUE
1009,Zimmerman Inc,carlosjohnson@jones-young.info,582.399.7376,Mexico,3.4,2021,7,TRUE
1010,Hopkins LLC,ujenkins@nunez.com,4658133387,Japan,3.6,2018,2,TRUE
1011,Ramirez and Sons,ramosmichelle@garcia.com,,United States,2.1,2011,7,TRUE
1012,Galloway LLC,smitchell@cowan.com,243.909.8050,Brazil,4.5,1984,3,TRUE
1013,"Calhoun, Schmidt and Brown",yorkcasey@leonard.biz,793-699-0916,Germany,2.7,1998,4,TRUE
1014,Santiago LLC,josephanderson@evans.com,,India,1.6,2018,2,TRUE
1015,Ibarra-Suarez,justin78@turner.net,4846124118,United Kingdom,2,1975,4,TRUE
1016,Jacobs-Robbins,gracefarrell@freeman.com,+1-264-300-5242x7868,United Kingdom,1.4,,2,TRUE
1017,Landry Ltd,amydavenport@tran.com,4535315869,Mexico,3,1981,4,TRUE
1018,Cherry and Sons,vjohnson@patton-jenkins.com,521-260-7337x543,China,1.8,1985,5,TRUE
1019,"Lee, Murphy and Lin",michael86@zavala.com,329-840-1965x569,Canada,3,1998,10,TRUE
1020,"Lee, Williams and Graham",michaeljones@mccall.com,001-448-646-5648x2366,China,3.3,2021,2,TRUE
1021,Kelley-Smith,jason99@morris.net,221.248.9513x4332,United Kingdom,4.8,2008,8,TRUE
1022,Riggs PLC,gibsonolivia@lee.com,(501)363-2870,France,4,2020,5,TRUE
1023,Anderson-Marshall,stephanie79@mcclain.info,(677)943-4873,Vietnam,3.1,1989,2,TRUE
1024,Reeves and Sons,matthew81@hernandez.com,001-831-266-5876x036,United States,3.8,1979,5,TRUE
1025,"James, Smith and Bell",acastaneda@adkins.com,234.867.0656x2729,Brazil,3.7,1983,1,TRUE
1026,"Elliott, Johnson and Day",michellewhite@gray-lewis.com,264-564-1708x05310,Australia,2.9,1981,6,TRUE
1027,Combs PLC,johnwells@elliott.info,001-645-829-9124x190,France,4.5,2016,7,TRUE
1028,David-Gonzalez,curtisbarton@burke.com,(786)951-8506x716,United Kingdom,1.4,2009,6,TRUE
1029,"Hernandez, Thompson and Boyd",christina87@graham-simon.com,431-947-3799x65075,France,4.5,2010,4,TRUE
1030,Kelly LLC,joshua94@smith.biz,783.977.7014x3634,Vietnam,4.9,1990,1,TRUE
1031,"Schmidt, Coleman and Reese",michael74@king-martinez.com,618-523-3749x89413,Japan,4.6,1975,5,TRUE
1032,White-Smith,joshuamccann@carter.info,209-647-7752,China,2.1,2021,4,TRUE
1033,Wilson-Jones,ojones@brown.com,831-986-9993,Canada,1.8,1978,6,TRUE
1034,Evans-Chapman,ntorres@lynch.com,001-933-641-2328x12067,Canada,1.2,2008,6,TRUE
1035,Hall Ltd,jacqueline71@hall.org,+1-636-918-3242x10249,Canada,3.4,1990,9,TRUE
1036,Harrison LLC,gbender@snyder.biz,001-459-940-1399x0490,Australia,3.5,2012,6,TRUE
1037,"Pearson, Moon and White",fwalters@harrison.com,712-356-7468x07154,Brazil,3.9,2000,5,TRUE
1038,Hancock-Bryan,sandovalamy@brown-stone.org,001-577-403-4824x77109,Vietnam,4,2004,4,TRUE
1039,Pierce-Tran,walkermaureen@murray.com,,Australia,1.9,1997,1,TRUE
1040,Barton-Dickerson,sarah84@campbell.org,001-872-978-7558,Germany,3.8,2016,10,TRUE
1041,Kane-Pollard,ashleyhall@williams-garner.biz,(227)402-8951x7187,Vietnam,3.7,1983,1,TRUE
1042,Pitts-Booker,harrisontanya@hanson-sanders.com,386-357-8091x34316,United Kingdom,3.9,2015,1,TRUE
1043,Jackson-Evans,williamslaura@howard-jordan.com,569.922.2196x93792,Canada,4.4,2002,6,TRUE
1044,"King, Scott and Smith",,664-674-3671x3695,United States,2,2010,3,TRUE
1045,Spence Ltd,,,Canada,4.5,,7,TRUE
