inventory_id,warehouse_id,product_id,warehouse_name,location,capacity_units,product_name,category,unit_price,is_active,stock_quantity,reorder_level,last_restock_date,stock_status,restock_date_status,business_key_status,inventory_key_status
700001,501,20637,Christophershire Distribution Center,India,599758,Open-architected bandwidth-monitored process improvement,Sporting Goods,1174.16,N,5315,70,16-10-2025,Above Reorder Level,Valid,Unique,Valid
700002,501,20423,Christophershire Distribution Center,India,599758,Innovative attitude-oriented alliance,Sporting Goods,1481.22,N,34094,196,22-04-2026,Above Reorder Level,Valid,Unique,Valid
700003,501,20629,Christophershire Distribution Center,India,599758,Configurable analyzing alliance,Electronics,314.47,Y,14914,148,12-01-2026,Above Reorder Level,Valid,Unique,Valid
700004,501,21036,Christophershire Distribution Center,India,599758,Switchable needs-based encoding,Sporting Goods,2407.07,Y,10340,177,14-03-2026,Above Reorder Level,Valid,Unique,Valid
700005,501,20770,Christophershire Distribution Center,India,599758,Face-to-face intangible interface,Toys,773.5,N,1921,121,12-07-2025,Above Reorder Level,Valid,Unique,Valid
700006,501,21266,Christophershire Distribution Center,India,599758,Reactive modular website,Electronics,1415.16,N,1921,453,12-04-2026,Above Reorder Level,Valid,Unique,Valid
700007,501,20896,Christophershire Distribution Center,India,599758,Devolved holistic methodology,Electronics,2280.59,N,678,470,26-06-2026,Above Reorder Level,Valid,Unique,Valid
700008,501,20154,Christophershire Distribution Center,India,599758,Fundamental motivating architecture,Toys,714.1,Y,22780,80,28-04-2026,Above Reorder Level,Valid,Unique,Valid
700009,501,21079,Christophershire Distribution Center,India,599758,Multi-tiered analyzing workforce,Groceries,2172.9,Y,10410,217,20-08-2026,Above Reorder Level,Valid,Unique,Valid
700010,501,20904,Christophershire Distribution Center,India,599758,Operative secondary forecast,Sporting Goods,1047.81,Y,13946,246,05-11-2025,Above Reorder Level,Valid,Unique,Valid
700011,501,21264,Christophershire Distribution Center,India,599758,Polarized static flexibility,Automotive Parts,499.06,N,236,418,09-11-2025,Below Reorder Level,Valid,Unique,Valid
700012,501,20336,Christophershire Distribution Center,India,599758,Automated mobile initiative,Industrial Equipment,1916.18,Y,39683,186,10-11-2025,Above Reorder Level,Valid,Unique,Valid
700013,501,20620,Christophershire Distribution Center,India,599758,Assimilated optimizing website,Groceries,1691.75,N,20234,430,22-03-2026,Above Reorder Level,Valid,Unique,Valid
700014,501,21415,Christophershire Distribution Center,India,599758,Pre-emptive composite budgetary management,Electronics,463.95,Y,2703,,05-04-2026,Cannot Determine,Valid,Unique,Valid
700015,501,21070,Christophershire Distribution Center,India,599758,Face-to-face modular software,Toys,462.7,Y,2273,343,29-06-2026,Above Reorder Level,Valid,Unique,Valid
700016,501,20276,Christophershire Distribution Center,India,599758,Multi-layered reciprocal contingency,Office Supplies,439.24,N,2295,260,06-03-2026,Above Reorder Level,Valid,Unique,Valid
700017,501,20869,Christophershire Distribution Center,India,599758,Extended bi-directional help-desk,Electronics,1068.83,N,4109,237,11-05-2026,Above Reorder Level,Valid,Unique,Valid
700018,501,20357,Christophershire Distribution Center,India,599758,Expanded executive solution,Groceries,1208.6,Y,8426,,13-08-2026,Cannot Determine,Valid,Unique,Valid
700019,501,20546,Christophershire Distribution Center,India,599758,Persistent regional frame,Apparel,821.63,N,6406,168,27-05-2026,Above Reorder Level,Valid,Unique,Valid
700020,501,20864,Christophershire Distribution Center,India,599758,Operative multimedia benchmark,Toys,208.37,Y,3899,19,18-04-2026,Above Reorder Level,Valid,Unique,Valid
700021,501,21120,Christophershire Distribution Center,India,599758,Advanced bottom-line budgetary management,Apparel,517.09,Y,,499,17-07-2026,Cannot Determine,Valid,Unique,Valid
700022,501,20605,Christophershire Distribution Center,India,599758,Optional incremental focus group,Toys,1870.06,N,1702,441,01-11-2025,Above Reorder Level,Valid,Unique,Valid
700023,501,20022,Christophershire Distribution Center,India,599758,Persistent dedicated frame,Groceries,1889.51,N,3913,146,08-03-2026,Above Reorder Level,Valid,Unique,Valid
700024,501,20174,Christophershire Distribution Center,India,599758,Object-based homogeneous orchestration,Groceries,2220.16,,5168,144,31-12-2025,Above Reorder Level,Valid,Unique,Valid
700025,501,20749,Christophershire Distribution Center,India,599758,Devolved web-enabled structure,Sporting Goods,2198.34,N,6897,285,04-08-2026,Above Reorder Level,Valid,Unique,Valid
700026,501,21371,Christophershire Distribution Center,India,599758,Multi-tiered solution-oriented extranet,Toys,2388.38,Y,17419,201,28-02-2026,Above Reorder Level,Valid,Unique,Valid
700027,501,21316,Christophershire Distribution Center,India,599758,Multi-layered disintermediate projection,Office Supplies,2262.02,Y,2523,277,16-09-2025,Above Reorder Level,Valid,Unique,Valid
700028,501,21092,Christophershire Distribution Center,India,599758,Total neutral infrastructure,Industrial Equipment,1665.42,N,8178,359,28-02-2026,Above Reorder Level,Valid,Unique,Valid
700029,501,20275,Christophershire Distribution Center,India,599758,Cross-group web-enabled interface,Automotive Parts,2408.29,Y,10166,476,01-05-2026,Above Reorder Level,Valid,Unique,Valid
700030,501,20991,Christophershire Distribution Center,India,599758,Self-enabling regional benchmark,Furniture,1649.38,Y,539,,02-10-2025,Cannot Determine,Valid,Unique,Valid
700031,501,20077,Christophershire Distribution Center,India,599758,Progressive methodical interface,Automotive Parts,2120.03,Y,10594,72,09-05-2026,Above Reorder Level,Valid,Unique,Valid
700032,501,21318,Christophershire Distribution Center,India,599758,Networked background benchmark,Industrial Equipment,1402.56,Y,2118,359,23-07-2026,Above Reorder Level,Valid,Unique,Valid
700033,501,20792,Christophershire Distribution Center,India,599758,Down-sized fresh-thinking installation,Furniture,1760.71,Y,762,197,27-06-2026,Above Reorder Level,Valid,Unique,Valid
700034,501,20662,Christophershire Distribution Center,India,599758,Reverse-engineered stable service-desk,Groceries,1063.37,N,33681,248,22-06-2026,Above Reorder Level,Valid,Unique,Valid
700035,501,20928,Christophershire Distribution Center,India,599758,Profit-focused reciprocal support,Automotive Parts,785.67,N,38177,200,10-01-2026,Above Reorder Level,Valid,Unique,Valid
700036,501,21281,Christophershire Distribution Center,India,599758,Upgradable multimedia contingency,Automotive Parts,1086.5,N,18715,337,15-06-2026,Above Reorder Level,Valid,Unique,Valid
700037,501,20301,Christophershire Distribution Center,India,599758,Up-sized logistical system engine,Toys,528.01,Y,4115,92,28-06-2026,Above Reorder Level,Valid,Unique,Valid
