order_detail_id,order_id,product_id,customer_id,warehouse_id,supplier_id,order_date,order_status,product_name,category,is_active,quantity,unit_price,discount_pct,source_line_total,gross_line_amount,discount_amount,net_line_amount,calculated_line_total,line_total_difference,line_total_status,transaction_type,supplier_status
800001,5005294,20309,301770,506,1221,10-08-2024,Cancelled,Advanced composite projection,Industrial Equipment,N,49,1995.32,15.5,82616.22,97770.68,15154.4554,82616.2246,82616.2246,-0.0046,Matched,Sale,Matched
800002,5000640,20678,302234,513,1158,24-11-2025,Pending,Polarized user-facing throughput,Groceries,N,14,2380.51,1.3,32893.89,33327.14,433.25282,32893.88718,32893.88718,0.00282,Matched,Sale,Matched
800003,5008766,20226,302184,530,1079,22-06-2024,Cancelled,Switchable scalable website,Pharmaceuticals,Y,12,61.33,1.4,725.66,735.96,10.30344,725.65656,725.65656,0.00344,Matched,Sale,Matched
800004,5005126,20512,301767,516,1230,06-06-2026,Delivered,Pre-emptive 3rdgeneration Graphical User Interface,Groceries,Y,17,1350.59,0.1,22937.07,22960.03,22.96003,22937.06997,22937.06997,3.00E-05,Matched,Sale,Matched
800005,5003088,20526,302351,507,1148,02-03-2026,Delivered,Multi-tiered bottom-line application,Sporting Goods,N,23,1044.06,1,23773.25,24013.38,240.1338,23773.2462,23773.2462,0.0038,Matched,Sale,Matched
800006,5009287,21217,300640,515,1197,06-09-2024,Pending,Polarized modular migration,Toys,Y,26,1451.23,15.1,32034.45,37731.98,5697.52898,32034.45102,32034.45102,-0.00102,Matched,Sale,Matched
800007,5005821,21005,300826,534,1005,01-03-2024,Returned,Mandatory real-time interface,Sporting Goods,,45,1485.82,0.9,66260.14,66861.9,601.7571,66260.1429,66260.1429,-0.0029,Matched,Sale,Matched
800008,5008867,20037,302663,502,1210,05-04-2022,Cancelled,Reactive systemic moratorium,Groceries,N,14,1683.1,26,17436.92,23563.4,6126.484,17436.916,17436.916,0.004,Matched,Sale,Matched
800009,5009970,20682,302065,530,1138,09-06-2023,Delivered,Compatible heuristic algorithm,Industrial Equipment,N,18,1386.08,,24874.59,,,,,,Cannot Calculate,Sale,Matched
800010,5002363,20068,302067,503,1024,09-01-2025,Delivered,Multi-lateral intermediate customer loyalty,Sporting Goods,N,42,,6.6,73550.93,,,,,,Cannot Calculate,Sale,Matched
800011,5001581,20586,301051,518,1131,18-11-2024,Shipped,Grass-roots modular strategy,Furniture,N,37,753.62,20.3,22223.5,27883.94,5660.43982,22223.50018,22223.50018,-0.00018,Matched,Sale,Matched
800012,5006270,20033,302802,540,1226,25-04-2026,Delivered,Optional client-driven function,Industrial Equipment,N,41,838.17,5.2,32577.99,34364.97,1786.97844,32577.99156,32577.99156,-0.00156,Matched,Sale,Matched
800013,5004711,20746,300360,535,1275,15-11-2025,Pending,Function-based exuding synergy,Apparel,N,8,1047.2,0.7,8318.96,8377.6,58.6432,8318.9568,8318.9568,0.0032,Matched,Sale,Matched
800014,5004567,21066,302647,513,1144,17-12-2025,Delivered,Switchable real-time parallelism,Groceries,Y,35,197.96,26.2,5113.31,6928.6,1815.2932,5113.3068,5113.3068,0.0032,Matched,Sale,Matched
800015,5008938,20846,300268,506,1267,24-05-2024,Shipped,Future-proofed coherent intranet,Furniture,N,10,2354.31,,23260.58,,,,,,Cannot Calculate,Sale,Matched
800016,5009393,21273,302740,535,1296,21-01-2022,Shipped,Monitored motivating access,Groceries,Y,22,383.21,6.2,7907.92,8430.62,522.69844,7907.92156,7907.92156,-0.00156,Matched,Sale,Matched
800017,5000142,21110,301226,533,1005,20-12-2024,Delivered,Up-sized impactful encryption,Industrial Equipment,Y,40,616.29,1,24405.08,24651.6,246.516,24405.084,24405.084,-0.004,Matched,Sale,Matched
800018,5006466,20752,302841,532,1081,10-05-2024,Shipped,Horizontal grid-enabled toolset,Office Supplies,Y,10,685.89,1.9,6728.58,6858.9,130.3191,6728.5809,6728.5809,-0.0009,Matched,Sale,Matched
800019,5001864,20863,300055,501,1122,14-06-2025,Delivered,Up-sized composite analyzer,Pharmaceuticals,N,11,132,1.4,,1452,20.328,1431.672,1431.672,,Missing Source Total,Sale,Matched
800020,5008598,21273,301707,516,1296,24-04-2025,Returned,Monitored motivating access,Groceries,Y,48,383.21,,16444.31,,,,,,Cannot Calculate,Sale,Matched
800021,5003255,20153,300567,505,1251,07-06-2024,Pending,Cross-platform cohesive standardization,Groceries,N,7,1485.92,15.8,8758.01,10401.44,1643.42752,8758.01248,8758.01248,-0.00248,Matched,Sale,Matched
