order_id,customer_id,warehouse_id,order_date,ship_date,order_status,source_order_total,detail_row_count,total_quantity,calculated_order_total,order_total_difference,order_financial_status,shipment_count,has_shipment,detail_status,customer_status,quantity_status,date_status
5000001,300839,520,2023-05-14,2023-05-24,Delivered,34000.07,3.0,46.0,34000.07,0.0,Matched,2,True,Has Order Details,Matched,Positive Net Quantity,Valid
5000002,302397,515,2025-06-21,2025-06-22,Cancelled,,,,,,Cannot Calculate,0,False,No Order Details,Matched,,Valid
5000003,300665,518,2025-04-13,2025-04-21,Delivered,15670.6,2.0,26.0,15670.6,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid
5000004,300218,529,2024-03-18,,Shipped,53042.99,3.0,64.0,53042.99,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Missing Ship Date
5000005,300514,540,2026-02-17,2026-02-27,Shipped,48773.4,2.0,74.0,48773.399999999994,7.275957614183426e-12,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid
5000006,300981,518,2025-08-17,2025-08-29,Returned,8583.49,1.0,5.0,8583.49,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid
5000007,300369,519,2026-02-20,2026-03-03,Cancelled,30918.56,1.0,20.0,30918.56,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid
5000008,301284,510,2025-06-03,2025-06-11,Pending,184562.12,5.0,147.0,184562.12,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid
5000009,302763,531,2025-07-09,2025-07-15,Shipped,4755.59,1.0,12.0,4755.59,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid
5000010,302702,504,2022-03-12,2022-03-18,Pending,6411.24,1.0,5.0,6411.24,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid
5000011,302913,507,2025-08-25,2025-08-30,Pending,288843.05,6.0,172.0,288843.05,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid
5000012,300154,534,2024-11-19,2024-11-23,Shipped,193889.5,3.0,116.0,193889.5,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid
5000013,300476,508,2024-06-24,2024-06-30,Shipped,675.29,1.0,4.0,675.29,0.0,Matched,1,True,Has Order Details,Matched,Positive Net Quantity,Valid
5000014,300423,533,2026-04-29,2026-05-11,Returned,9872.31,2.0,9.0,9872.31,0.0,Matched,0,False,Has Order Details,Matched,Positive Net Quantity,Valid
