shipment_id,order_id,carrier,shipment_date,delivery_date,shipping_cost,distance_km,order_status,order_reference_status,shipment_date_status,delivery_date_status
900001,5011359,DHL Express,2025-05-14,2025-05-28,404.68,6560.1,Returned,Matched,Valid,Valid
900002,5000198,DHL Express,2025-08-30,2025-08-31,54.16,656.1,Pending,Matched,Valid,Valid
900003,5005494,UPS,2026-03-14,2026-03-26,659.74,9288.7,Cancelled,Matched,Valid,Valid
900004,5006043,Blue Dart,2025-08-09,2025-08-16,277.2,4009.4,Cancelled,Matched,Valid,Valid
900005,5006276,FedEx,2021-12-16,2021-12-22,222.88,3102.2,Cancelled,Matched,Valid,Valid
900006,5005020,Maersk,2023-10-07,2023-10-08,61.53,766.3,Cancelled,Matched,Valid,Valid
900007,5009615,DHL,2025-10-06,2025-10-19,380.58,6102.1,Cancelled,Matched,Valid,Valid
900008,5009526,Blue Dart,2025-09-23,,461.21,10118.9,Shipped,Matched,Valid,Missing Delivery Date
900009,5011196,UPS,2026-03-16,2026-03-21,,3646.5,Pending,Matched,Valid,Valid
900010,5000167,Blue Dart,2024-05-13,2024-05-19,204.76,2996.9,Delivered,Matched,Valid,Valid
900011,5006634,UPS,2025-06-30,2025-07-11,433.95,7103.6,Pending,Matched,Valid,Valid
900012,5001170,DHL,2026-02-23,2026-02-24,20.64,438.9,Delivered,Matched,Valid,Valid
900013,5007159,UPS,2024-11-30,2024-12-16,500.7,8712.7,Shipped,Matched,Valid,Valid
900014,5007439,UPS,2026-02-08,2026-02-15,229.71,4808.7,Delivered,Matched,Valid,Valid
900015,5006466,Maersk,2024-05-15,2024-05-18,,2260.3,Shipped,Matched,Valid,Valid
900016,5000239,Blue Dart,2026-06-05,2026-06-12,197.69,3382.6,Delivered,Matched,Valid,Valid
900017,5011554,Maersk,2025-12-06,2025-12-18,208.87,5087.1,Cancelled,Matched,Valid,Valid
900018,5007565,UPS,,,488.82,9970.0,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900019,5002338,Maersk,2024-06-17,2024-07-07,624.95,9665.1,Delivered,Matched,Valid,Valid
900020,5008393,DHL,2023-05-25,2023-06-16,640.43,10181.1,Cancelled,Matched,Valid,Valid
900021,5009985,Maersk,2025-09-03,,783.16,11773.0,Delivered,Matched,Valid,Missing Delivery Date
900022,5000744,DHL,2026-04-03,2026-04-08,234.9,4332.7,Shipped,Matched,Valid,Valid
900023,5007046,DHL Express,2025-07-07,2025-07-13,137.14,2633.1,Delivered,Matched,Valid,Valid
900024,5003457,Blue Dart,2024-09-11,2024-09-22,600.38,8445.5,Cancelled,Matched,Valid,Valid
900025,5010843,Maersk,2025-10-03,2025-10-13,237.94,5354.0,Cancelled,Matched,Valid,Valid
900026,5011257,DHL Express,2026-03-11,2026-03-19,360.37,5988.7,Shipped,Matched,Valid,Valid
900027,5004918,FedEx,2026-01-14,2026-01-30,606.72,8883.2,Delivered,Matched,Valid,Valid
900028,5004091,DHL,2023-11-28,2023-12-10,382.59,,Delivered,Matched,Valid,Valid
900029,5005695,Blue Dart,,,428.59,8773.1,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900030,5007750,DHL,2024-01-13,2024-01-24,386.1,6050.7,Pending,Matched,Valid,Valid
900031,5011136,DHL,2026-07-15,2026-08-08,,11172.2,Returned,Matched,Valid,Valid
900032,5005049,FedEx,2024-08-19,2024-09-10,651.99,10173.7,Returned,Matched,Valid,Valid
900033,5001111,Maersk,2025-05-10,2025-05-20,430.81,8668.8,Pending,Matched,Valid,Valid
900034,5008281,Maersk,2025-06-11,2025-06-12,16.96,,Shipped,Matched,Valid,Valid
900035,5002041,FedEx,2024-08-18,2024-08-24,165.5,3058.4,Shipped,Matched,Valid,Valid
900036,5005778,FedEx,2025-01-29,2025-02-06,199.38,4401.5,Shipped,Matched,Valid,Valid
900037,5011335,DHL,2024-01-20,2024-02-01,,8975.8,Delivered,Matched,Valid,Valid
900038,5003506,Blue Dart,2023-04-28,2023-05-13,590.34,11120.5,Pending,Matched,Valid,Valid
900039,5010290,Blue Dart,2023-12-19,2023-12-20,54.16,624.8,Shipped,Matched,Valid,Valid
900040,5001233,FedEx,2026-03-13,2026-03-28,512.32,11561.4,Pending,Matched,Valid,Valid
900041,5004595,Maersk,,,450.4,,Cancelled,Matched,Missing Shipment Date,Missing Delivery Date
900042,5011459,FedEx,2021-12-09,2022-01-01,449.77,10398.2,Delivered,Matched,Valid,Valid
900043,5000664,UPS,2023-06-07,2023-06-15,224.63,4092.1,Shipped,Matched,Valid,Valid
900044,5000072,FedEx,2025-12-27,2025-12-28,47.24,936.3,Delivered,Matched,Valid,Valid
900045,5006879,Blue Dart,,,277.19,6715.7,Shipped,Matched,Missing Shipment Date,Missing Delivery Date
900046,5011585,Blue Dart,2025-05-13,2025-06-03,609.33,10305.1,Pending,Matched,Valid,Valid
900047,5004590,DHL,,,177.66,4356.4,Returned,Matched,Missing Shipment Date,Missing Delivery Date
900048,5004629,UPS,2025-04-16,2025-05-09,417.3,9541.2,Delivered,Matched,Valid,Valid
900049,5000137,DHL,2026-06-09,2026-06-14,215.12,4456.3,Cancelled,Matched,Valid,Valid
900050,5004363,FedEx,2026-02-04,2026-02-25,596.87,11058.6,Pending,Matched,Valid,Valid
900051,5007705,UPS,2024-06-11,2024-06-22,540.39,9619.4,Shipped,Matched,Valid,Valid
900052,5006813,DHL,2025-11-17,2025-11-20,183.69,2779.3,Shipped,Matched,Valid,Valid
900053,5009072,DHL,2025-12-08,2025-12-12,182.58,3753.3,Shipped,Matched,Valid,Valid
900054,5003674,FedEx,2025-06-02,2025-06-12,558.64,9092.8,Delivered,Matched,Valid,Valid
900055,5002429,DHL Express,2025-02-16,2025-02-23,383.57,5754.1,Shipped,Matched,Valid,Valid
900056,5001320,Blue Dart,2024-07-03,2024-07-22,602.6,9924.4,Delivered,Matched,Valid,Valid
900057,5010816,FedEx,2025-10-30,2025-11-17,479.36,11794.8,Delivered,Matched,Valid,Valid
900058,5004499,Maersk,2026-04-25,2026-04-28,120.86,1829.7,Shipped,Matched,Valid,Valid
900059,5006262,FedEx,2023-12-25,2024-01-02,239.25,4729.8,Shipped,Matched,Valid,Valid
900060,5007977,UPS,2025-09-28,2025-09-29,58.22,1033.9,Shipped,Matched,Valid,Valid
900061,5004615,FedEx,2026-02-10,2026-02-24,333.5,5846.7,Cancelled,Matched,Valid,Valid
900062,5002102,Blue Dart,2024-04-29,2024-05-16,427.17,9603.2,Delivered,Matched,Valid,Valid
900063,5008214,Maersk,,,,5750.0,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900064,5011966,Blue Dart,2024-10-18,2024-10-20,85.67,1677.3,Delivered,Matched,Valid,Valid
900065,5003017,Maersk,2025-08-18,2025-08-29,536.52,8312.5,Delivered,Matched,Valid,Valid
900066,5007947,FedEx,2025-06-23,2025-06-30,302.2,5932.6,Pending,Matched,Valid,Valid
900067,5003915,FedEx,2024-09-11,2024-09-22,638.92,9773.4,Delivered,Matched,Valid,Valid
900068,5001790,DHL,2023-12-11,2023-12-23,,5374.6,Returned,Matched,Valid,Valid
900069,5004300,Maersk,2025-10-04,2025-10-05,41.69,552.3,Pending,Matched,Valid,Valid
