inventory_id,warehouse_id,product_id,stock_quantity,reorder_level,last_restock_date
700001,501,20637,5315.0,70.0,2025-10-16
700002,501,20423,34094.0,196.0,2026-04-22
700003,501,20629,14914.0,148.0,2026-01-12
700004,501,21036,10340.0,177.0,2026-03-14
700005,501,20770,1921.0,121.0,2025-07-12
700006,501,21266,1921.0,453.0,2026-04-12
700007,501,20896,678.0,470.0,2026-06-26
700008,501,20154,22780.0,80.0,2026-04-28
700009,501,21079,10410.0,217.0,2026-08-20
700010,501,20904,13946.0,246.0,2025-11-05
700011,501,21264,236.0,418.0,2025-11-09
700012,501,20336,39683.0,186.0,2025-11-10
700013,501,20620,20234.0,430.0,2026-03-22
700014,501,21415,2703.0,,2026-04-05
700015,501,21070,2273.0,343.0,2026-06-29
700016,501,20276,2295.0,260.0,2026-03-06
700017,501,20869,4109.0,237.0,2026-05-11
700018,501,20357,8426.0,,2026-08-13
700019,501,20546,6406.0,168.0,2026-05-27
700020,501,20864,3899.0,19.0,2026-04-18
700021,501,21120,,499.0,2026-07-17
700022,501,20605,1702.0,441.0,2025-11-01
700023,501,20022,3913.0,146.0,2026-03-08
700024,501,20174,5168.0,144.0,2025-12-31
700025,501,20749,6897.0,285.0,2026-08-04
700026,501,21371,17419.0,201.0,2026-02-28
700027,501,21316,2523.0,277.0,2025-09-16
700028,501,21092,8178.0,359.0,2026-02-28
700029,501,20275,10166.0,476.0,2026-05-01
700030,501,20991,539.0,,2025-10-02
700031,501,20077,10594.0,72.0,2026-05-09
700032,501,21318,2118.0,359.0,2026-07-23
700033,501,20792,762.0,197.0,2026-06-27
700034,501,20662,33681.0,248.0,2026-06-22
700035,501,20928,38177.0,200.0,2026-01-10
700036,501,21281,18715.0,337.0,2026-06-15
700037,501,20301,4115.0,92.0,2026-06-28
700038,501,20116,1164.0,109.0,2026-07-30
700039,501,21005,13057.0,422.0,2026-01-09
700040,501,20540,6570.0,144.0,2025-12-11
700041,501,21436,1474.0,155.0,2026-05-14
700042,501,20584,7742.0,83.0,2026-02-27
700043,501,20554,396.0,31.0,2026-02-23
700044,501,20555,27188.0,,2025-12-13
700045,501,20852,,332.0,2026-07-29
700046,501,21337,12303.0,342.0,2026-03-25
700047,501,20453,4231.0,452.0,2025-12-05
700048,501,20976,8315.0,,2026-04-02
700049,501,20236,8962.0,100.0,2025-09-12
700050,501,20040,2315.0,243.0,2026-02-03
700051,501,21103,39561.0,,2026-06-22
700052,501,20210,16902.0,354.0,2025-09-17
700053,501,20315,31772.0,383.0,2025-09-03
700054,501,20395,25509.0,402.0,2026-03-26
700055,501,21449,10319.0,,2026-07-16
700056,501,21272,28876.0,180.0,2026-08-04
700057,501,20122,1049.0,256.0,2026-01-20
700058,501,20220,2471.0,269.0,2026-03-18
700059,501,20773,524.0,201.0,2025-10-16
700060,501,20444,4457.0,355.0,2026-05-29
700061,501,21000,5574.0,299.0,2026-02-14
700062,501,21211,3586.0,413.0,2026-06-22
700063,501,20099,19986.0,228.0,2026-06-20
700064,501,20488,4998.0,263.0,2026-02-28
700065,501,21059,3736.0,93.0,2026-04-05
700066,501,20365,8862.0,80.0,2026-06-14
700067,501,21306,1720.0,320.0,2026-06-25
700068,501,20204,18354.0,296.0,2026-03-24
700069,501,20003,878.0,,2026-07-27
700070,501,20934,49091.0,343.0,2026-07-13
700071,501,21134,16757.0,125.0,2026-04-27
700072,501,20093,2509.0,354.0,2026-01-17
700073,501,20835,63.0,17.0,2026-04-01
700074,501,21180,19141.0,271.0,2025-10-21
700075,501,20026,13899.0,60.0,2025-08-09
700076,502,21159,2758.0,,2026-07-06
700077,502,20450,3117.0,200.0,2025-09-08
700078,502,20557,163.0,360.0,2025-10-27
700079,502,21086,938.0,140.0,2026-01-09
700080,502,20894,,191.0,2026-06-23
700081,502,21061,4201.0,337.0,2026-01-07
700082,502,20391,2063.0,439.0,2025-11-11
700083,502,20580,849.0,32.0,2026-02-06
700084,502,20339,139.0,208.0,2025-10-03
700085,502,21482,787.0,83.0,2026-02-05
700086,502,20459,831.0,164.0,2026-03-28
700087,502,20763,2763.0,348.0,2026-08-28
