order_detail_id,order_id,product_id,quantity,discount_pct,line_total
800001,5005294,20309,49,15.5,82616.22
800002,5000640,20678,14,1.3,32893.89
800003,5008766,20226,12,1.4,725.66
800004,5005126,20512,17,0.1,22937.07
800005,5003088,20526,23,1.0,23773.25
800006,5009287,21217,26,15.1,32034.45
800007,5005821,21005,45,0.9,66260.14
800008,5008867,20037,14,26.0,17436.92
800009,5009970,20682,18,,24874.59
800010,5002363,20068,42,6.6,73550.93
800011,5001581,20586,37,20.3,22223.5
800012,5006270,20033,41,5.2,32577.99
800013,5004711,20746,8,0.7,8318.96
800014,5004567,21066,35,26.2,5113.31
800015,5008938,20846,10,,23260.58
800016,5009393,21273,22,6.2,7907.92
800017,5000142,21110,40,1.0,24405.08
800018,5006466,20752,10,1.9,6728.58
800019,5001864,20863,11,1.4,
800020,5008598,21273,48,,16444.31
800021,5003255,20153,7,15.8,8758.01
800022,5003500,21392,50,1.1,71134.81
800023,5001460,20675,6,0.4,12397.63
800024,5001909,20757,38,,44138.43
800025,5006152,20139,2,26.2,1104.83
800026,5009807,21447,26,0.4,44983.42
800027,5006394,20338,40,1.5,54218.34
800028,5009941,20751,20,0.5,22798.44
800029,5007141,21222,18,1.7,10866.42
800030,5004587,20107,14,16.3,26440.96
800031,5007546,20281,15,0.7,11708.21
800032,5010400,21439,42,1.1,27163.78
800033,5006653,21342,24,21.0,25537.41
800034,5007859,20534,19,11.0,35772.77
800035,5010257,20701,30,0.0,3579.6
800036,5004268,21162,1,11.2,1860.02
800037,5006322,20274,42,1.9,53369.77
800038,5001027,20178,15,25.8,19536.16
800039,5003101,20050,46,11.2,62458.63
800040,5001713,20572,2,1.0,4004.99
800041,5008904,20276,2,16.1,737.04
800042,5001567,21414,39,26.6,58518.41
800043,5003080,21281,39,16.9,35212.38
800044,5010345,20503,9,11.4,15949.28
800045,5005420,21196,23,5.3,29574.02
800046,5002504,20984,49,6.6,70094.29
800047,5003893,21094,24,11.2,8920.99
