order_id,customer_id,warehouse_id,order_date,ship_date,order_status,order_total
5000001,300839,520,2023-05-14,2023-05-24,Delivered,34000.07
5000002,302397,515,2025-06-21,2025-06-22,Cancelled,
5000003,300665,518,2025-04-13,2025-04-21,Delivered,15670.6
5000004,300218,529,2024-03-18,,Shipped,53042.99
5000005,300514,540,2026-02-17,2026-02-27,Shipped,48773.4
5000006,300981,518,2025-08-17,2025-08-29,Returned,8583.49
5000007,300369,519,2026-02-20,2026-03-03,Cancelled,30918.56
5000008,301284,510,2025-06-03,2025-06-11,Pending,184562.12
5000009,302763,531,2025-07-09,2025-07-15,Shipped,4755.59
5000010,302702,504,2022-03-12,2022-03-18,Pending,6411.24
5000011,302913,507,2025-08-25,2025-08-30,Pending,288843.05
5000012,300154,534,2024-11-19,2024-11-23,Shipped,193889.5
5000013,300476,508,2024-06-24,2024-06-30,Shipped,675.29
5000014,300423,533,2026-04-29,2026-05-11,Returned,9872.31
5000015,300707,520,2025-08-28,2025-09-04,Delivered,14729.99
5000016,302910,516,2022-12-29,2023-01-09,Pending,24817.9
5000017,301878,504,2021-06-27,2021-07-05,Delivered,42924.32
5000018,300993,522,2023-04-16,2023-04-18,Pending,
5000019,300680,531,2023-05-21,2023-05-30,Shipped,8383.38
5000020,302982,510,2022-11-13,2022-11-18,Cancelled,60170.71
5000021,302340,530,2025-04-27,2025-05-01,Pending,
5000022,300445,501,2026-05-10,2026-05-13,Delivered,7257.15
5000023,302432,529,2024-11-16,,Delivered,170419.15
5000024,302162,533,2024-09-21,2024-09-27,Shipped,785.97
5000025,302376,511,2022-06-03,,Delivered,178895.11
5000026,302338,516,2026-02-17,2026-02-21,Shipped,80601.05
5000027,302015,520,2026-02-14,2026-02-20,Delivered,0.0
5000028,300243,531,2025-11-12,2025-11-22,Shipped,41813.04
5000029,301298,509,2025-01-08,2025-01-14,Pending,146010.35
5000030,302057,529,2024-04-02,2024-04-06,Delivered,8112.47
5000031,300166,520,2024-03-06,2024-03-08,Pending,0.0
5000032,301627,504,2024-07-13,2024-07-24,Returned,68033.78
5000033,301415,524,2022-03-13,2022-03-16,Delivered,8927.75
5000034,301891,517,2025-12-11,2025-12-11,Shipped,134551.15
5000035,301773,522,2026-03-18,2026-03-20,Pending,17127.75
5000036,301508,509,2022-04-13,2022-04-21,Delivered,78084.75
5000037,300254,523,2026-01-18,2026-01-21,Shipped,
5000038,302460,513,2024-11-13,2024-11-19,Pending,1750.65
5000039,300613,523,2025-06-28,2025-06-30,Cancelled,73253.25
5000040,301907,515,2024-07-18,2024-07-20,Cancelled,44282.71
5000041,302939,504,2025-06-10,,Returned,
5000042,300584,514,2025-01-18,2025-01-18,Returned,33853.26
5000043,300810,515,2023-06-04,2023-06-07,Cancelled,39780.78
5000044,302185,524,2024-08-29,2024-09-10,Delivered,
5000045,301104,515,2025-10-25,2025-11-03,Delivered,45549.38
5000046,302815,531,2024-01-08,2024-01-17,Shipped,-9319.69
5000047,301212,523,2025-07-16,2025-07-27,Pending,34082.59
5000048,302727,530,2025-01-09,2025-01-11,Pending,96242.74
5000049,302578,513,2024-10-04,2024-10-13,Cancelled,72845.9
5000050,301078,509,2026-07-22,2026-07-30,Delivered,
5000051,300906,530,2026-03-21,2026-03-30,Cancelled,18881.2
5000052,302776,506,2022-11-07,2022-07-11,Shipped,
5000053,301415,524,2025-09-16,2025-09-26,Delivered,108825.74
5000054,301623,528,2026-02-10,2026-02-21,Delivered,93195.54
5000055,301652,515,2025-12-02,2025-09-12,Shipped,98493.47
5000056,301011,536,2022-02-02,2022-02-13,Delivered,41612.72
5000057,300947,522,2026-07-08,2026-07-10,Pending,108251.94
5000058,300423,523,2025-08-09,2025-08-15,Returned,124283.15
5000059,300844,527,2025-12-06,2025-12-15,Returned,56579.24
5000060,300030,536,2025-07-15,2025-07-20,Delivered,117029.48
5000061,301784,524,2025-07-04,2025-07-11,Delivered,53840.84
5000062,300613,506,2026-01-25,,Cancelled,151147.02
5000063,301558,515,2025-02-05,2025-02-07,Pending,91170.58
5000064,300840,512,2026-06-12,2026-06-23,Pending,62868.98
5000065,301098,514,2024-03-08,2024-03-09,Shipped,45533.45
5000066,302377,503,2022-08-01,2022-08-05,Delivered,15417.12
5000067,301812,510,2025-11-16,2025-11-20,Cancelled,81246.08
5000068,302722,533,2024-07-22,2024-07-27,Pending,72423.76
5000069,301765,540,2023-01-02,2023-01-11,Returned,95166.99
5000070,302897,524,2026-06-01,2026-01-14,Pending,3327.39
5000071,301012,527,2023-09-24,2023-10-03,Pending,78561.59
5000072,300875,535,2025-12-24,2026-01-01,Delivered,99307.26
5000073,300536,537,2024-06-27,,Shipped,38621.95
5000074,301413,536,2024-01-08,2024-01-16,Pending,
5000075,301813,538,2024-07-14,2024-07-26,Pending,87123.7
5000076,301121,517,2024-06-08,2024-06-17,Cancelled,87371.57
5000077,302062,526,2023-12-08,2023-12-13,Returned,99115.78
5000078,301611,511,2026-02-24,2026-02-27,Delivered,93211.08
5000079,301029,526,2026-03-04,2026-03-06,Delivered,15085.32
5000080,301593,516,2023-06-17,2023-06-18,Returned,28880.92
5000081,301719,519,2026-04-28,2026-04-28,Delivered,
