order_id,customer_id,warehouse_id,order_date,ship_date,order_status,order_total,Column1
5000001,300839,520,14-05-2023,24-05-2023,delivered,34000.07,
5000002,302397,515,21-06-2025,22-06-2025,Cancelled,,
5000003,300665,518,13-04-2025,21-04-2025,Delivered,15670.6,
5000004,300218,529,18-03-2024,,Shipped,53042.99,
5000005,300514,540,17-02-2026,27-02-2026,Shipped,48773.4,
5000006,300981,518,17-08-2025,29-08-2025,Returned,8583.49,
5000007,300369,519,20-02-2026,03-03-2026,Cancelled,30918.56,
5000008,301284,510,03-06-2025,11-06-2025,Pending,184562.12,
5000009,302763,531,09-07-2025,15-07-2025,Shipped,4755.59,
5000010,302702,504,12-03-2022,18-03-2022,pending ,6411.24,
5000011,302913,507,25-08-2025,30-08-2025,pending ,288843.05,
5000012,300154,534,19-11-2024,23-11-2024,Shipped,193889.5,
5000013,300476,508,24-06-2024,30-06-2024,Shipped,675.29,
5000014,300423,533,29-04-2026,11-05-2026,Returned,9872.31,
5000015,300707,520,28-08-2025,04-09-2025,delivered,14729.99,
5000016,302910,516,29-12-2022,09-01-2023,pending ,24817.9,
5000017,301878,504,27-06-2021,05-07-2021,delivered,42924.32,
5000018,300993,522,16-04-2023,18-04-2023,Pending,,
5000019,300680,531,21-May-23,30-05-2023,SHIPPED,8383.38,
5000020,302982,510,13-11-2022,18-11-2022,Cancelled,60170.71,
5000021,302340,530,27-04-2025,01-05-2025,Pending,,
5000022,300445,501,10-05-2026,13-05-2026,Delivered,7257.15,
5000023,302432,529,16-11-2024,,Delivered,170419.15,
5000024,302162,533,21-09-2024,27-09-2024,SHIPPED,785.97,
5000025,302376,511,03-06-2022,,Delivered,178895.11,
5000026,302338,516,17-02-2026,21-02-2026,SHIPPED,80601.05,
5000027,302015,520,14-02-2026,20-Feb-26,delivered,0,
5000028,300243,531,12-11-2025,22-11-2025,SHIPPED,41813.04,
5000029,301298,509,08-01-2025,14-01-2025,Pending,146010.35,
5000030,302057,529,02-04-2024,06-04-2024,Delivered,8112.47,
5000031,300166,520,06-03-2024,08-Mar-24,Pending,0,
5000032,301627,504,13-07-2024,24-07-2024,Returned,68033.78,
5000033,301415,524,13-03-2022,16-03-2022,Delivered,8927.75,
5000034,301891,517,11-12-2025,11-12-2025,Shipped,134551.15,
5000035,301773,522,18-03-2026,20-03-2026,pending ,17127.75,
5000036,301508,509,13-04-2022,21-04-2022,Delivered,78084.75,
5000037,300254,523,18-01-2026,21-01-2026,SHIPPED,,
5000038,302460,513,13-11-2024,19-11-2024,Pending,1750.65,
5000039,300613,523,28-06-2025,30-06-2025,Cancelled,73253.25,
5000040,301907,515,18-07-2024,20-07-2024,Cancelled,44282.71,
5000041,302939,504,10-06-2025,,Returned,,
5000042,300584,514,18-01-2025,18-01-2025,Returned,33853.26,
5000043,300810,515,04-06-2023,07-06-2023,Cancelled,39780.78,
5000044,302185,524,29-08-2024,10-Sep-24,Delivered,,
5000045,301104,515,25-10-2025,03-11-2025,delivered,45549.38,
5000046,302815,531,08-01-2024,17-01-2024,SHIPPED,-9319.69,
5000047,301212,523,16-07-2025,07-27-2025,pending ,34082.59,
5000048,302727,530,09-01-2025,11-01-2025,Pending,96242.74,
5000049,302578,513,04-10-2024,13-10-2024,Cancelled,72845.9,
5000050,301078,509,22-07-2026,30-07-2026,Delivered,,
5000051,300906,530,21-03-2026,30-03-2026,Cancelled,18881.2,
5000052,302776,506,07-11-2022,11-07-2022,SHIPPED,,
5000053,301415,524,16-09-2025,09-26-2025,Delivered,108825.74,
5000054,301623,528,10-02-2026,21-02-2026,Delivered,93195.54,
5000055,301652,515,02-12-2025,12-09-2025,SHIPPED,98493.47,
5000056,301011,536,02-02-2022,13-02-2022,Delivered,41612.72,
5000057,300947,522,08-07-2026,10-07-2026,Pending,108251.94,
5000058,300423,523,09-08-2025,15-08-2025,Returned,124283.15,
5000059,300844,527,06-12-2025,15-12-2025,Returned,56579.24,
5000060,300030,536,15-07-2025,20-07-2025,delivered,117029.48,
5000061,301784,524,04-Jul-25,11-07-2025,Delivered,53840.84,
5000062,300613,506,25-Jan-26,,Cancelled,151147.02,
5000063,301558,515,05-02-2025,07-02-2025,pending ,91170.58,
5000064,300840,512,12-06-2026,23-06-2026,pending ,62868.98,
5000065,301098,514,08-03-2024,09-03-2024,Shipped,45533.45,
5000066,302377,503,01-08-2022,05-08-2022,Delivered,15417.12,
5000067,301812,510,16-11-2025,20-11-2025,Cancelled,81246.08,
5000068,302722,533,22-07-2024,27-07-2024,pending ,72423.76,
5000069,301765,540,02-01-2023,11-01-2023,Returned,95166.99,
5000070,302897,524,01-06-2026,14-01-2026,pending ,3327.39,
5000071,301012,527,24-09-2023,03-10-2023,pending ,78561.59,
5000072,300875,535,24-12-2025,01-01-2026,delivered,99307.26,
5000073,300536,537,27-06-2024,,SHIPPED,38621.95,
5000074,301413,536,08-01-2024,16-01-2024,pending ,,
5000075,301813,538,14-07-2024,26-07-2024,pending ,87123.7,
5000076,301121,517,08-06-2024,17-06-2024,Cancelled,87371.57,
5000077,302062,526,08-12-2023,13-Dec-23,Returned,99115.78,
5000078,301611,511,24-02-2026,27-02-2026,delivered,93211.08,
5000079,301029,526,04-03-2026,06-03-2026,delivered,15085.32,
5000080,301593,516,17-06-2023,18-06-2023,Returned,28880.92,
5000081,301719,519,28-04-2026,28-04-2026,Delivered,,
5000082,300869,526,12-05-2024,16-05-2024,Shipped,165948.83,
5000083,302692,528,01-31-2024,02-02-2024,SHIPPED,,
5000084,302863,523,23-01-2025,29-01-2025,Shipped,20081.03,
5000085,302616,503,21-02-2026,,Shipped,57208.26,
5000086,301286,539,02-02-2024,05-02-2024,SHIPPED,150252.1,
5000087,302928,526,09-07-2026,,delivered,55462.07,
5000088,301293,501,06-20-2025,20-06-2025,pending ,,
5000089,300791,534,08-07-2026,,Delivered,118491.65,
5000090,300281,519,31-03-2023,07-04-2023,Delivered,3009.54,
5000091,301577,506,21-05-2026,30-05-2026,Cancelled,63824.94,
5000092,301644,524,30-12-2025,,Shipped,64317.33,
