inventory_id,warehouse_id,product_id,stock_quantity,reorder_level,last_restock_date
700001,501,20637,5315,70,16-10-2025
700002,501,20423,34094,196,22-04-2026
700003,501,20629,14914,148,12-01-2026
700004,501,21036,10340,177,14-03-2026
700005,501,20770,1921,121,12-07-2025
700006,501,21266,1921,453,12-04-2026
700007,501,20896,678,470,26-Jun-26
700008,501,20154,22780,80,28-04-2026
700009,501,21079,10410,217,20-08-2026
700010,501,20904,13946,246,05-11-2025
700011,501,21264,236,418,09-11-2025
700012,501,20336,39683,186,10-11-2025
700013,501,20620,20234,430,22-03-2026
700014,501,21415,2703,,05-04-2026
700015,501,21070,2273,343,29-06-2026
700016,501,20276,2295,260,06-03-2026
700017,501,20869,4109,237,11-05-2026
700018,501,20357,8426,,13-08-2026
700019,501,20546,6406,168,27-05-2026
700020,501,20864,3899,19,18-04-2026
700021,501,21120,,499,17-07-2026
700022,501,20605,1702,441,01-11-2025
700023,501,20022,3913,146,08-03-2026
700024,501,20174,5168,144,31-12-2025
700025,501,20749,6897,285,04-08-2026
700026,501,21371,17419,201,28-02-2026
700027,501,21316,2523,277,16-09-2025
700028,501,21092,8178,359,28-02-2026
700029,501,20275,10166,476,01-05-2026
700030,501,20991,539,,02-10-2025
700031,501,20077,10594,72,09-05-2026
700032,501,21318,2118,359,23-07-2026
700033,501,20792,762,197,27-06-2026
700034,501,20662,33681,248,22-06-2026
700035,501,20928,38177,200,10-01-2026
700036,501,21281,18715,337,15-06-2026
700037,501,20301,4115,92,28-06-2026
700038,501,20116,1164,109,30-07-2026
700039,501,21005,13057,422,09-01-2026
700040,501,20540,6570,144,11-12-2025
700041,501,21436,1474,155,14-May-26
700042,501,20584,7742,83,27-02-2026
700043,501,20554,396,31,23-02-2026
700044,501,20555,27188,,13-12-2025
700045,501,20852,,332,29-07-2026
700046,501,21337,12303,342,03-25-2026
700047,501,20453,4231,452,05-12-2025
700048,501,20976,8315,,02-04-2026
700049,501,20236,8962,100,12-09-2025
700050,501,20040,2315,243,03-02-2026
700051,501,21103,39561,,22-06-2026
700052,501,20210,16902,354,17-09-2025
700053,501,20315,31772,383,03-09-2025
700054,501,20395,25509,402,26-03-2026
700055,501,21449,10319,,16-07-2026
700056,501,21272,28876,180,04-08-2026
700057,501,20122,1049,256,20-01-2026
700058,501,20220,2471,269,18-03-2026
700059,501,20773,524,201,16-10-2025
700060,501,20444,4457,355,29-05-2026
700061,501,21000,5574,299,14-02-2026
700062,501,21211,3586,413,22-06-2026
700063,501,20099,19986,228,20-06-2026
700064,501,20488,4998,263,28-02-2026
700065,501,21059,3736,93,05-04-2026
700066,501,20365,8862,80,14-06-2026
700067,501,21306,1720,320,25-06-2026
700068,501,20204,18354,296,24-03-2026
700069,501,20003,878,,27-07-2026
700070,501,20934,49091,343,13-07-2026
700071,501,21134,16757,125,27-04-2026
700072,501,20093,2509,354,17-01-2026
700073,501,20835,63,17,01-04-2026
700074,501,21180,19141,271,21-10-2025
700075,501,20026,13899,60,09-08-2025
700076,502,21159,2758,,06-07-2026
700077,502,20450,3117,200,08-09-2025
700078,502,20557,163,360,27-Oct-25
700079,502,21086,938,140,09-01-2026
700080,502,20894,,191,23-06-2026
700081,502,21061,4201,337,07-01-2026
700082,502,20391,2063,439,11-11-2025
700083,502,20580,849,32,06-02-2026
700084,502,20339,139,208,03-10-2025
700085,502,21482,787,83,05-02-2026
700086,502,20459,831,164,03-28-2026
700087,502,20763,2763,348,28-08-2026
700088,502,20501,2144,159,09-07-2026
700089,502,20410,4610,403,25-Jun-26
700090,502,21152,1350,187,21-10-2025
700091,502,20801,269,,19-04-2026
700092,502,20442,2639,442,12-01-2025
700093,502,20594,3022,229,11-09-2025
700094,502,21279,,22,25-03-2026
700095,502,20240,3114,393,23-01-2026
700096,502,21457,1438,173,19-10-2025
700097,502,21384,1563,378,02-05-2026
700098,502,20745,1178,54,23-07-2026
700099,502,20797,54,215,10-08-2025
700100,502,20259,241,264,21-02-2026
700101,502,20004,67,447,12-11-2025
700102,502,21458,2137,202,08-05-2026
700103,502,21338,797,73,10-06-2026
700104,502,20158,1501,292,18-11-2025
700105,502,21113,5031,45,14-01-2026
700106,502,21360,606,353,25-04-2026
700107,502,20543,1116,49,23-11-2025
700108,502,21302,2976,,07-05-2026
700109,502,21442,549,399,05-11-2026
700110,502,21459,169,80,01-04-2026
700111,502,20070,723,193,29-11-2025
700112,502,20648,371,278,20-04-2026
700113,502,20118,5609,475,05-03-2026
700114,502,20509,3488,11,13-03-2026
700115,502,20778,2120,369,12-08-2026
700116,502,20940,4334,289,09-08-2026
700117,502,21372,3439,415,02-15-2026
700118,502,20246,436,120,28-03-2026
700119,502,21127,4713,384,26-10-2025
700120,502,21499,1638,79,04-08-2026
700121,502,20529,3480,196,03-02-2026
700122,502,21056,4784,143,14-06-2026
700123,502,20448,809,440,01-03-2026
700124,502,20168,246,345,30-07-2026
700125,502,20210,547,276,03-27-2026
700126,502,20807,1177,91,23-05-2026
700127,502,20370,3600,250,01-01-2026
700128,502,20831,4165,77,19-06-2026
700129,502,20012,15,147,09-04-2026
700130,502,21142,1510,434,05-31-2026
700131,502,21115,1141,353,07-01-2026
700132,502,20453,531,227,04-16-2026
700133,502,21081,270,16,05-07-2026
700134,502,21431,870,,26-05-2026
700135,502,21493,6049,281,17-07-2026
700136,502,20627,825,401,02-11-2025
700137,502,20667,1545,304,23-05-2026
700138,502,20935,2565,293,23-05-2026
700139,502,20550,955,265,27-02-2026
700140,502,20238,,284,16-07-2026
700141,502,20069,6934,140,07-05-2026
700142,502,20169,613,162,12-07-2026
700143,502,20787,1453,124,20-06-2026
700144,502,21484,756,197,07-02-2026
700145,502,20433,708,172,08-10-2025
700146,502,21213,79,191,22-11-2025
700147,502,20104,1987,,08-07-2026
700148,502,21292,1476,135,07-08-2026
700149,502,20592,112,34,11-12-2025
700150,502,20470,690,80,08-09-2025
700151,503,21085,16254,303,17-11-2025
700152,503,21156,1863,379,19-08-2026
700153,503,21257,1065,,22-01-2026
700154,503,20964,4574,388,01-05-2026
700155,503,20134,28876,96,17-10-2025
700156,503,20887,1886,90,19-01-2026
700157,503,21423,7587,47,02-15-2026
700158,503,20387,9756,103,02-08-2026
700159,503,20940,1846,134,08-Dec-25
700160,503,20229,8864,487,11-09-2025
700161,503,20688,3120,238,01-05-2026
700162,503,20991,6807,415,24-08-2026
700163,503,21335,6830,15,10-12-2025
700164,503,21148,5221,43,08-03-2026
700165,503,20661,644,79,01-01-2026
700166,503,20901,12272,,12-01-2026
700167,503,20499,,381,29-09-2025
700168,503,21445,1405,417,21-03-2026
700169,503,20237,283,312,23-11-2025
700170,503,20003,6081,50,29-09-2025
700171,503,20272,7701,,14-10-2025
700172,503,20815,114,122,05-09-2025
700173,503,20185,4883,286,02-09-2025
700174,503,21316,,353,19-10-2025
700175,503,20273,7050,191,15-07-2026
700176,503,20319,1304,,18-10-2025
700177,503,20545,7989,466,20-05-2026
700178,503,20944,3327,456,29-10-2025
700179,503,20326,18781,175,21-02-2026
700180,503,20182,1007,,25-04-2026
700181,503,20971,2838,458,06-05-2026
700182,503,21132,819,449,01-01-2026
700183,503,20101,17596,458,08-01-2026
