shipment_id,order_id,carrier,shipment_date,delivery_date,shipping_cost,distance_km
900001,5011359,DHL Express,14-May-25,28-05-2025,404.68,6560.1
900002,5000198,DHL Express,30-08-2025,31-08-2025,54.16,656.1
900003,5005494,UPS,14-03-2026,26-03-2026,659.74,9288.7
900004,5006043,Blue Dart,09-08-2025,16-08-2025,277.2,4009.4
900005,5006276,fedex,16-12-2021,22-12-2021,222.88,3102.2
900006,5005020,Maersk,07-10-2023,08-10-2023,61.53,766.3
900007,5009615,DHL,06-10-2025,19-Oct-25,380.58,6102.1
900008,5009526,Blue Dart,23-09-2025,,461.21,10118.9
900009,5011196,UPS,16-03-2026,21-03-2026,,3646.5
900010,5000167,Blue Dart,13-05-2024,19-05-2024,204.76,2996.9
900011,5006634,UPS,30-06-2025,11-07-2025,433.95,7103.6
900012,5001170,DHL,23-02-2026,24-02-2026,20.64,438.9
900013,5007159,UPS,30-11-2024,16-12-2024,500.7,8712.7
900014,5007439,UPS,08-02-2026,15-02-2026,229.71,4808.7
900015,5006466,Maersk,15-05-2024,18-05-2024,,2260.3
900016,5000239,Blue Dart,05-06-2026,12-06-2026,197.69,3382.6
900017,5011554,Maersk,06-Dec-25,12-18-2025,208.87,5087.1
900018,5007565,UPS,,,488.82,9970
900019,5002338,Maersk,17-Jun-24,07-07-2024,624.95,9665.1
900020,5008393,DHL,25-05-2023,16-06-2023,640.43,10181.1
900021,5009985,Maersk,03-09-2025,,783.16,11773
900022,5000744,DHL,03-04-2026,08-04-2026,234.9,4332.7
900023,5007046,DHL Express,07-07-2025,13-07-2025,137.14,2633.1
900024,5003457,Blue Dart,11-09-2024,22-09-2024,600.38,8445.5
900025,5010843,Maersk,03-10-2025,13-10-2025,237.94,5354
900026,5011257,DHL Express,11-03-2026,19-03-2026,360.37,5988.7
900027,5004918,fedex,14-01-2026,30-01-2026,606.72,8883.2
900028,5004091,DHL,28-11-2023,10-12-2023,382.59,
900029,5005695,Blue Dart,,,428.59,8773.1
900030,5007750,DHL,13-01-2024,24-01-2024,386.1,6050.7
900031,5011136,DHL,15-07-2026,08-08-2026,,11172.2
900032,5005049,fedex,08-19-2024,10-09-2024,651.99,10173.7
900033,5001111,Maersk,10-05-2025,20-05-2025,430.81,8668.8
900034,5008281,Maersk,11-06-2025,12-06-2025,16.96,
900035,5002041,fedex,18-08-2024,24-08-2024,165.5,3058.4
900036,5005778,fedex,29-01-2025,06-02-2025,199.38,4401.5
900037,5011335,DHL,20-01-2024,01-02-2024,,8975.8
900038,5003506,Blue Dart,28-04-2023,05-13-2023,590.34,11120.5
900039,5010290,Blue Dart,19-12-2023,20-12-2023,54.16,624.8
900040,5001233,fedex,13-03-2026,28-03-2026,512.32,11561.4
900041,5004595,Maersk,,,450.4,
900042,5011459,FedEx,09-12-2021,01-01-2022,449.77,10398.2
900043,5000664,UPS,07-06-2023,15-06-2023,224.63,4092.1
900044,5000072,FedEx,12-27-2025,28-12-2025,47.24,936.3
900045,5006879,Blue Dart,,,277.19,6715.7
900046,5011585,Blue Dart,13-05-2025,03-06-2025,609.33,10305.1
900047,5004590,DHL,,,177.66,4356.4
900048,5004629,UPS,16-04-2025,09-May-25,417.3,9541.2
900049,5000137,DHL,09-06-2026,06-14-2026,215.12,4456.3
900050,5004363,FedEx,04-02-2026,25-Feb-26,596.87,11058.6
900051,5007705,UPS,11-06-2024,22-06-2024,540.39,9619.4
900052,5006813,DHL,17-11-2025,20-11-2025,183.69,2779.3
900053,5009072,DHL,08-12-2025,12-12-2025,182.58,3753.3
900054,5003674,FedEx,02-06-2025,12-06-2025,558.64,9092.8
900055,5002429,DHL Express,16-02-2025,23-02-2025,383.57,5754.1
900056,5001320,Blue Dart,03-07-2024,22-07-2024,602.6,9924.4
900057,5010816,fedex,30-10-2025,17-11-2025,479.36,11794.8
900058,5004499,Maersk,25-04-2026,28-Apr-26,120.86,1829.7
900059,5006262,fedex,12-25-2023,02-01-2024,239.25,4729.8
900060,5007977,UPS,28-09-2025,29-09-2025,58.22,1033.9
900061,5004615,fedex,10-02-2026,24-02-2026,333.5,5846.7
900062,5002102,Blue Dart,29-04-2024,16-05-2024,427.17,9603.2
900063,5008214,Maersk,,,,5750
900064,5011966,Blue Dart,18-10-2024,20-10-2024,85.67,1677.3
900065,5003017,Maersk,18-08-2025,29-08-2025,536.52,8312.5
900066,5007947,fedex,06-23-2025,30-06-2025,302.2,5932.6
900067,5003915,FedEx,11-09-2024,22-09-2024,638.92,9773.4
900068,5001790,DHL,11-12-2023,23-12-2023,,5374.6
900069,5004300,Maersk,04-10-2025,05-10-2025,41.69,552.3
900070,5004140,DHL,02-02-2026,14-02-2026,522.93,9868.5
900071,5005808,FedEx,,,126.88,1664
900072,5004883,DHL Express,16-01-2026,19-01-2026,,1521.3
900073,5002458,FedEx,12-07-2024,18-07-2024,142.48,2910.8
900074,5004542,Blue Dart,26-09-2022,13-10-2022,629.53,9143.1
900075,5007708,UPS,29-01-2026,12-02-2026,775.2,11164.8
900076,5011227,fedex,31-03-2025,14-04-2025,474.67,9279.3
900077,5000852,Maersk,22-10-2025,25-10-2025,150.07,2726.5
900078,5003055,Maersk,04-26-2025,12-05-2025,664.06,11579.8
900079,5004197,fedex,31-07-2025,07-08-2025,225.99,3104.2
900080,5000069,FedEx,04-01-2023,05-01-2023,,792.4
900081,5004174,FedEx,11-05-2022,21-05-2022,507.35,7640.5
900082,5005214,Maersk,18-07-2024,,292.93,6633.3
900083,5005079,UPS,25-07-2025,28-07-2025,194.4,3011.7
900084,5010994,fedex,06-01-2024,01-07-2024,33.3,538.9
900085,5006968,Blue Dart,08-07-2024,14-07-2024,225.45,4119.6
900086,5002029,DHL Express,12-10-2023,13-10-2023,24.55,418.3
900087,5007500,DHL,10-11-2023,20-11-2023,,5623.2
900088,5010833,Blue Dart,10-01-2024,03-02-2024,638.41,11908.7
900089,5009221,fedex,01-02-2022,13-02-2022,395.19,9294.3
900090,5006587,Blue Dart,18-12-2023,05-01-2024,548.06,9977.5
900091,5003584,FedEx,16-08-2023,30-08-2023,360.62,8501.5
900092,5000690,fedex,01-31-2023,15-02-2023,444.2,7257.2
900093,5007299,UPS,16-05-2026,31-05-2026,426.82,8716.3
900094,5010880,fedex,27-07-2025,28-Jul-25,77.11,
900095,5003170,DHL Express,,,126.39,2496
900096,5011157,UPS,23-09-2025,01-10-2025,336.75,7039.3
900097,5008936,DHL Express,21-10-2022,28-10-2022,289.38,5629.1
900098,5005886,DHL,24-05-2026,01-06-2026,195.03,3953.3
900099,5006742,FedEx,,,342.89,5342.2
900100,5001964,Maersk,28-01-2024,13-02-2024,709.87,11683.9
900101,5001890,FedEx,,,,4729.4
900102,5009803,DHL Express,,,682.55,
900103,5007180,FedEx,22-Jun-26,28-06-2026,261.15,3745.3
900104,5003113,Maersk,23-07-2024,07-26-2024,87.36,1243.8
900105,5003923,Maersk,13-07-2025,26-07-2025,664.16,11703.5
900106,5007076,FedEx,08-09-2023,17-09-2023,260.38,4377.2
900107,5011383,Maersk,09-02-2024,06-03-2024,590.52,11504.7
900108,5008376,DHL Express,11-01-2024,17-01-2024,257.27,3603.9
900109,5007000,FedEx,,,244.49,3893.9
900110,5005211,FedEx,13-10-2025,,410.74,7144.6
900111,5009774,FedEx,19-03-2022,03-28-2022,435.46,6707.1
900112,5004019,fedex,20-08-2023,28-08-2023,338.33,5195.7
900113,5009279,DHL,20-May-24,22-05-2024,116.03,1529.8
900114,5011292,DHL,13-05-2025,14-05-2025,63.87,1504.5
900115,5008183,DHL Express,29-03-2025,07-04-2025,298.85,5102.8
900116,5001236,Blue Dart,06-24-2024,28-06-2024,205.75,3233.2
900117,5007888,UPS,11-02-2023,27-Feb-23,505.86,9891.8
900118,5004369,DHL,25-09-2023,26-09-2023,64.33,840.5
900119,5010200,FedEx,17-02-2026,22-02-2026,180.92,2618.7
900120,5006351,fedex,02-08-2026,13-08-2026,455.63,6440.5
900121,5005763,UPS,02-06-2025,29-06-2025,606.59,11569.2
900122,5010435,UPS,06-05-2026,18-05-2026,342.14,6539.2
900123,5006686,Maersk,25-02-2025,07-03-2025,,9123.3
900124,5002482,DHL Express,22-02-2026,02-03-2026,230.24,4569
900125,5002676,UPS,14-04-2025,15-04-2025,15.32,131.2
900126,5005137,Blue Dart,03-27-2026,16-04-2026,517.77,9334.2
900127,5003786,Blue Dart,22-04-2025,04-05-2025,464.78,8423.5
900128,5009344,Blue Dart,20-06-2025,05-07-2025,650.07,11976.8
900129,5003356,Blue Dart,12-02-2025,23-02-2025,464.02,8155.3
900130,5008688,DHL,25-01-2024,,292.15,5708.1
900131,5003568,DHL Express,,,436.02,10032.8
900132,5004576,DHL Express,,,,11228.5
900133,5003266,Maersk,11-06-2024,30-06-2024,649.46,10150.2
900134,5010330,DHL,25-08-2024,18-09-2024,594.22,10920.8
900135,5000647,UPS,,,137.7,
900136,5004139,Maersk,30-04-2024,05-07-2024,222.68,4767.6
900137,5010446,Maersk,,,345.67,6758.6
900138,5008697,DHL Express,02-08-2026,25-08-2026,712.89,10546.3
900139,5002156,FedEx,07-08-2023,12-08-2023,132.03,2921.1
900140,5008117,Maersk,23-05-2024,,297.46,5057.2
900141,5004650,Blue Dart,01-06-2026,,469.17,7017.4
900142,5004021,UPS,14-11-2023,15-11-2023,36.14,502.5
900143,5006927,DHL Express,10-Mar-21,03-19-2021,525.16,7593.1
900144,5011241,fedex,11-08-2024,18-08-2024,211.41,4148.3
900145,5001736,Maersk,,,555.45,10513.7
900146,5003543,FedEx,03-11-2025,06-11-2025,156.98,2283.8
900147,5000137,DHL Express,06-06-2026,14-Jun-26,404.86,5913.5
900148,5010963,Maersk,,,678.13,10146.5
900149,5007053,DHL Express,10-04-2025,14-04-2025,239.28,4013.8
900150,5001427,FedEx,07-04-2026,11-04-2026,119.66,2393.2
900151,5003720,DHL Express,24-06-2025,01-07-2025,,6377.4
900152,5010324,FedEx,04-10-2025,13-10-2025,339,5190.5
900153,5011892,FedEx,05-10-2023,10-12-2023,255.38,3595.6
900154,5006198,fedex,12-11-2025,01-12-2025,819.48,11943.5
900155,5007413,Maersk,,,156.95,3151.3
900156,5003333,Blue Dart,05-Jan-24,16-01-2024,350.32,8147.8
900157,5005680,DHL,02-03-2026,03-27-2026,,11655.2
900158,5009104,FedEx,10-12-2022,,96.89,1754.9
900159,5010129,Maersk,17-11-2023,29-11-2023,443.34,8217.5
900160,5011891,Maersk,03-09-2025,07-09-2025,181.68,3221.3
900161,5009652,Maersk,16-11-2025,24-11-2025,234.88,3850.7
900162,5011427,FedEx,31-01-2021,,230.06,3326.2
900163,5002793,UPS,,,302.29,6361.3
900164,5003873,UPS,03-12-2024,12-12-2024,324.86,6918.1
900165,5008666,Maersk,26-06-2025,15-07-2025,706.21,11735.1
900166,5011287,DHL Express,,,408,7794.6
900167,5003007,Blue Dart,19-08-2025,21-08-2025,95.52,1570.2
900168,5000686,UPS,01-08-2026,03-08-2026,64.77,1090.3
900169,5007940,Blue Dart,13-09-2023,19-09-2023,166.09,3169.5
900170,5011241,fedex,09-08-2024,21-08-2024,,7956.8
900171,5010976,Maersk,10-07-2024,21-07-2024,340.78,5160.8
900172,5004539,UPS,19-01-2024,23-01-2024,132.49,1708.8
900173,5009997,Maersk,02-01-2026,05-01-2026,81.8,1371.8
900174,5004459,DHL,03-05-2025,07-05-2025,222.22,3783.8
900175,5003867,Blue Dart,26-09-2023,05-10-2023,345.67,5083.2
900176,5004597,FedEx,28-03-2024,07-04-2024,505.85,7473.8
900177,5007783,DHL Express,,,323.98,6880.8
900178,5005979,UPS,29-10-2023,01-11-2023,89.63,1594.8
900179,5002600,UPS,08-12-2022,26-12-2022,474.76,10633.4
900180,5006527,Maersk,09-08-2025,11-08-2025,110.38,1701.8
900181,5009446,fedex,,,656.96,10073.9
900182,5003356,Blue Dart,14-02-2025,22-02-2025,216.03,4516.4
900183,5000966,Maersk,13-08-2025,,446.5,7128.2
